# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
123127958.1405404858,24,00:04:27,"0,00 %","0,00 ₽",0,"41,67 %"
749987037.1463484414,16,00:01:10,"0,00 %","0,00 ₽",0,"0,00 %"
2009549466.1447738445,15,00:03:50,"0,00 %","0,00 ₽",0,"13,33 %"
1182187327.1494593570,10,00:02:23,"0,00 %","0,00 ₽",0,"10,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
1626501736.1454581767,10,00:08:47,"10,00 %","0,00 ₽",0,"30,00 %"
628234179.1477574037,10,00:14:12,"0,00 %","0,00 ₽",0,"10,00 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
1298223537.1495173242,8,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
1888447593.1491152077,8,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
2063265166.1494833645,8,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
820914681.1491912753,8,00:07:06,"0,00 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,7,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
272636717.1494398904,7,00:05:35,"0,00 %","0,00 ₽",0,"0,00 %"
500727041.1482239926,7,00:00:51,"28,57 %","0,00 ₽",0,"14,29 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
1095686964.1494930352,6,00:03:47,"0,00 %","0,00 ₽",0,"0,00 %"
1114113715.1448572566,6,00:01:09,"16,67 %","0,00 ₽",0,"0,00 %"
1309300770.1493579097,6,00:17:06,"0,00 %","0,00 ₽",0,"33,33 %"
1344276843.1466760045,6,00:14:09,"16,67 %","0,00 ₽",0,"0,00 %"
1457573879.1495026324,6,00:00:32,"50,00 %","0,00 ₽",0,"0,00 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
