# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
15309904.1492135010,18,00:02:36,"5,56 %","0,00 ₽",0,"0,00 %"
300082639.1495022742,12,00:03:50,"16,67 %","0,00 ₽",0,"0,00 %"
1692045541.1495383540,11,00:00:11,"45,45 %","0,00 ₽",0,"0,00 %"
19544911.1495719116,11,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
1908078358.1496927642,7,00:02:20,"0,00 %","0,00 ₽",0,"14,29 %"
272636717.1494398904,7,00:05:35,"0,00 %","0,00 ₽",0,"0,00 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
1423278428.1494132424,6,00:17:13,"16,67 %","0,00 ₽",0,"0,00 %"
1944281838.1493816121,6,00:01:43,"33,33 %","0,00 ₽",0,"0,00 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
590633627.1495190829,6,00:08:40,"0,00 %","0,00 ₽",0,"16,67 %"
726675663.1494859186,6,00:00:55,"0,00 %","0,00 ₽",0,"16,67 %"
1206010680.1496434886,5,00:16:24,"0,00 %","0,00 ₽",0,"60,00 %"
1280925443.1495261797,5,00:01:27,"20,00 %","0,00 ₽",0,"0,00 %"
151401810.1495764261,5,00:00:34,"20,00 %","0,00 ₽",0,"0,00 %"
152451424.1496414219,5,00:03:49,"0,00 %","0,00 ₽",0,"0,00 %"
1565069019.1494489976,5,00:03:13,"0,00 %","0,00 ₽",0,"20,00 %"
1594532085.1492097729,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
703582560.1494521902,5,00:02:11,"0,00 %","0,00 ₽",0,"0,00 %"
1325157393.1493744112,4,00:07:22,"0,00 %","0,00 ₽",0,"0,00 %"
1405005554.1494980771,4,00:05:43,"25,00 %","0,00 ₽",0,"0,00 %"
1436008772.1493810050,4,00:02:43,"25,00 %","0,00 ₽",0,"25,00 %"
1806601581.1485030392,4,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1807630632.1497526351,4,00:02:48,"25,00 %","0,00 ₽",0,"0,00 %"
1820272919.1497113337,4,00:05:21,"25,00 %","0,00 ₽",0,"0,00 %"
311582492.1495288888,4,00:04:28,"0,00 %","0,00 ₽",0,"0,00 %"
440913082.1496728756,4,00:02:45,"25,00 %","0,00 ₽",0,"0,00 %"
598897864.1496561325,4,00:16:45,"0,00 %","0,00 ₽",0,"0,00 %"
668821711.1493628469,4,00:03:32,"0,00 %","0,00 ₽",0,"25,00 %"
719856645.1492617390,4,00:00:09,"25,00 %","0,00 ₽",0,"0,00 %"
747026953.1494494325,4,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
976266059.1493143118,4,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1005452330.1496847199,3,00:02:10,"0,00 %","0,00 ₽",0,"0,00 %"
1093369955.1492506825,3,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1117273081.1494855780,3,00:06:18,"0,00 %","0,00 ₽",0,"0,00 %"
1240845081.1496648349,3,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1322616589.1493894900,3,00:25:52,"0,00 %","0,00 ₽",0,"33,33 %"
1337615252.1495032508,3,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
1368420550.1493847719,3,00:01:56,"0,00 %","0,00 ₽",0,"0,00 %"
1424324171.1495033482,3,00:00:40,"0,00 %","0,00 ₽",0,"33,33 %"
1451646570.1495101911,3,00:12:56,"0,00 %","0,00 ₽",0,"66,67 %"
1498345887.1495657593,3,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1587280356.1496907088,3,00:12:50,"0,00 %","0,00 ₽",0,"0,00 %"
1645813042.1496054076,3,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
1700151548.1492709135,3,00:00:09,"33,33 %","0,00 ₽",0,"0,00 %"
1709360407.1495229318,3,00:00:25,"0,00 %","0,00 ₽",0,"0,00 %"
173023373.1493638088,3,00:02:24,"0,00 %","0,00 ₽",0,"0,00 %"
1769578803.1489925630,3,00:10:08,"0,00 %","0,00 ₽",0,"0,00 %"
20453442.1494989427,3,00:00:37,"33,33 %","0,00 ₽",0,"0,00 %"
2060177772.1494404411,3,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
2062273885.1492098156,3,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
213984198.1496581509,3,00:02:12,"0,00 %","0,00 ₽",0,"0,00 %"
275173255.1494498010,3,00:01:18,"0,00 %","0,00 ₽",0,"33,33 %"
295188477.1493108609,3,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
346171243.1496871039,3,00:04:53,"33,33 %","0,00 ₽",0,"0,00 %"
413878545.1494080623,3,00:00:08,"66,67 %","0,00 ₽",0,"0,00 %"
524076773.1495868831,3,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
617853102.1497260147,3,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
623115922.1496181913,3,00:04:04,"0,00 %","0,00 ₽",0,"66,67 %"
625949077.1496656229,3,00:01:12,"33,33 %","0,00 ₽",0,"66,67 %"
665869592.1497120501,3,< 00:00:01,"0,00 %","0,00 ₽",0,"0,00 %"
680037727.1493817319,3,00:09:39,"33,33 %","0,00 ₽",0,"0,00 %"
795805009.1495916095,3,00:02:33,"0,00 %","0,00 ₽",0,"0,00 %"
80698041.1495461253,3,00:00:36,"0,00 %","0,00 ₽",0,"0,00 %"
833636921.1494362533,3,00:14:17,"33,33 %","0,00 ₽",0,"0,00 %"
942703958.1496331715,3,00:05:31,"33,33 %","0,00 ₽",0,"0,00 %"
96649328.1496769526,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1007362804.1493939929,2,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
1010230147.1496172900,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1012041522.1494864323,2,00:04:32,"0,00 %","0,00 ₽",0,"0,00 %"
1017040158.1494994845,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1025033871.1480186370,2,00:13:19,"0,00 %","0,00 ₽",0,"0,00 %"
1025174083.1496741900,2,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
1036548183.1494861767,2,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
1054848269.1495264904,2,00:00:00,"0,00 %","0,00 ₽",0,"0,00 %"
1084408706.1494603676,2,00:01:59,"0,00 %","0,00 ₽",0,"50,00 %"
1091396940.1496515616,2,00:02:33,"0,00 %","0,00 ₽",0,"0,00 %"
1103460319.1493618470,2,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
1118768377.1495198573,2,00:06:30,"0,00 %","0,00 ₽",0,"0,00 %"
1139403885.1494866073,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1150086513.1449502596,2,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1203502053.1494150261,2,00:00:58,"50,00 %","0,00 ₽",0,"0,00 %"
1205195543.1495047301,2,00:00:02,"50,00 %","0,00 ₽",0,"0,00 %"
1215852842.1493699314,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1229767062.1482464485,2,00:01:37,"0,00 %","0,00 ₽",0,"0,00 %"
1259980755.1494134307,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1266382906.1489762938,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1282174640.1495644219,2,00:04:16,"0,00 %","0,00 ₽",0,"0,00 %"
128894888.1494736752,2,00:02:17,"0,00 %","0,00 ₽",0,"0,00 %"
1310355278.1496821379,2,00:11:45,"0,00 %","0,00 ₽",0,"0,00 %"
1336322379.1494524074,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1344129380.1493819894,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1355046436.1493989685,2,00:01:47,"0,00 %","0,00 ₽",0,"50,00 %"
1390016571.1496867726,2,00:01:46,"0,00 %","0,00 ₽",0,"0,00 %"
1390528537.1496045419,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
