# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1703831900.1495617998,11,00:02:07,"27,27 %","0,00 ₽",0,"0,00 %"
1876184893.1494846385,9,00:03:23,"0,00 %","0,00 ₽",0,"0,00 %"
1298223537.1495173242,8,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
2028074702.1494019112,7,00:04:17,"14,29 %","0,00 ₽",0,"0,00 %"
1114113715.1448572566,6,00:01:09,"16,67 %","0,00 ₽",0,"0,00 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
457582818.1447580535,6,00:02:30,"33,33 %","0,00 ₽",0,"0,00 %"
846240744.1494434842,6,00:01:55,"16,67 %","0,00 ₽",0,"0,00 %"
1813891126.1493971225,5,00:00:54,"0,00 %","0,00 ₽",0,"0,00 %"
2140300197.1494582863,5,00:02:13,"20,00 %","0,00 ₽",0,"0,00 %"
544163628.1494841501,5,00:09:09,"20,00 %","0,00 ₽",0,"0,00 %"
730879215.1494883576,5,00:01:26,"20,00 %","0,00 ₽",0,"0,00 %"
738560707.1487349967,5,00:00:03,"80,00 %","0,00 ₽",0,"0,00 %"
1111630917.1422029801,4,00:05:20,"0,00 %","0,00 ₽",0,"0,00 %"
1659259464.1496018728,4,00:05:21,"0,00 %","0,00 ₽",0,"25,00 %"
30904484.1494514088,4,00:13:33,"25,00 %","0,00 ₽",0,"0,00 %"
600397207.1495444355,4,00:31:07,"0,00 %","0,00 ₽",0,"25,00 %"
743071803.1494436992,4,00:01:38,"25,00 %","0,00 ₽",0,"0,00 %"
949461226.1494251369,4,00:02:14,"0,00 %","0,00 ₽",0,"0,00 %"
1014887886.1493282582,3,00:00:39,"0,00 %","0,00 ₽",0,"0,00 %"
1109244669.1496037938,3,00:03:12,"0,00 %","0,00 ₽",0,"0,00 %"
1222963032.1495294285,3,00:00:30,"0,00 %","0,00 ₽",0,"0,00 %"
1253058671.1496504871,3,00:02:13,"33,33 %","0,00 ₽",0,"0,00 %"
1333573676.1496917709,3,00:11:16,"0,00 %","0,00 ₽",0,"0,00 %"
1608018894.1495701371,3,00:02:35,"33,33 %","0,00 ₽",0,"66,67 %"
1676509062.1493880301,3,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1710164868.1495121872,3,00:01:35,"0,00 %","0,00 ₽",0,"0,00 %"
1775064174.1494436441,3,00:00:44,"33,33 %","0,00 ₽",0,"33,33 %"
1825848711.1492507091,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1838262125.1497185727,3,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1864663790.1494993045,3,00:00:33,"33,33 %","0,00 ₽",0,"0,00 %"
1884865577.1491886938,3,00:00:13,"33,33 %","0,00 ₽",0,"0,00 %"
1950666159.1497105750,3,00:02:11,"33,33 %","0,00 ₽",0,"0,00 %"
196848670.1494948520,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1973309605.1493242397,3,00:04:48,"33,33 %","0,00 ₽",0,"0,00 %"
1984287289.1495210758,3,00:02:02,"0,00 %","0,00 ₽",0,"33,33 %"
2034125994.1495177953,3,00:00:05,"33,33 %","0,00 ₽",0,"0,00 %"
2042132795.1494835678,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
263078183.1484299284,3,00:04:01,"0,00 %","0,00 ₽",0,"0,00 %"
447375339.1493787668,3,00:00:18,"33,33 %","0,00 ₽",0,"0,00 %"
464596965.1496261616,3,00:00:10,"33,33 %","0,00 ₽",0,"0,00 %"
480347388.1495039427,3,00:00:58,"0,00 %","0,00 ₽",0,"0,00 %"
523745289.1495225030,3,00:03:46,"0,00 %","0,00 ₽",0,"0,00 %"
614802405.1464066433,3,00:00:42,"0,00 %","0,00 ₽",0,"0,00 %"
728135496.1485518060,3,00:11:56,"0,00 %","0,00 ₽",0,"0,00 %"
7714911.1497192510,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
811589250.1497478451,3,00:02:18,"0,00 %","0,00 ₽",0,"0,00 %"
828825805.1495101777,3,00:00:29,"0,00 %","0,00 ₽",0,"0,00 %"
919267609.1493902021,3,00:13:14,"33,33 %","0,00 ₽",0,"33,33 %"
1004006676.1494161240,2,00:00:07,"0,00 %","0,00 ₽",0,"0,00 %"
1006497878.1495701156,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1036551979.1494534146,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
1082111764.1493725837,2,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
1103745982.1497800349,2,00:00:11,"50,00 %","0,00 ₽",0,"0,00 %"
1108024916.1493746148,2,00:06:35,"50,00 %","0,00 ₽",0,"0,00 %"
1108390442.1495378106,2,00:10:47,"0,00 %","0,00 ₽",0,"0,00 %"
1122624792.1463041210,2,00:11:16,"0,00 %","0,00 ₽",0,"0,00 %"
1147395412.1495955063,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1151506492.1496338784,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1154160463.1494533486,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1159076207.1496595998,2,00:01:51,"0,00 %","0,00 ₽",0,"0,00 %"
1196554050.1494564227,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1212140641.1494042873,2,00:02:01,"0,00 %","0,00 ₽",0,"0,00 %"
1217727512.1494853147,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1270709006.1496252907,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1275849725.1495836165,2,00:03:22,"0,00 %","0,00 ₽",0,"0,00 %"
1278417273.1496085716,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1282092044.1495127481,2,00:00:24,"50,00 %","0,00 ₽",0,"0,00 %"
1290300802.1497235534,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1305645360.1496831445,2,00:01:39,"0,00 %","0,00 ₽",0,"0,00 %"
1306166715.1493983655,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1306787543.1494593405,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1329589492.1489990099,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1330279847.1496723494,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
134414630.1494272065,2,00:00:48,"50,00 %","0,00 ₽",0,"0,00 %"
1346129731.1494468890,2,00:04:11,"0,00 %","0,00 ₽",0,"0,00 %"
1346264324.1497046834,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1394852164.1494823870,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
140006208.1496262891,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
1413545851.1488272268,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
1429123434.1472337221,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1441253939.1495376335,2,00:00:12,"50,00 %","0,00 ₽",0,"0,00 %"
1460283677.1495701992,2,00:00:42,"0,00 %","0,00 ₽",0,"0,00 %"
146193801.1493543780,2,00:00:33,"0,00 %","0,00 ₽",0,"0,00 %"
1465959714.1488975944,2,00:05:08,"0,00 %","0,00 ₽",0,"50,00 %"
1471715132.1495281213,2,00:03:19,"50,00 %","0,00 ₽",0,"0,00 %"
1477975290.1496922187,2,00:03:18,"0,00 %","0,00 ₽",0,"0,00 %"
1486967895.1496157801,2,00:00:43,"50,00 %","0,00 ₽",0,"0,00 %"
1489148691.1496146029,2,00:00:32,"0,00 %","0,00 ₽",0,"0,00 %"
1496142140.1495154500,2,00:05:04,"0,00 %","0,00 ₽",0,"0,00 %"
1502167366.1495983542,2,00:00:06,"0,00 %","0,00 ₽",0,"100,00 %"
1503864606.1496566447,2,00:07:03,"0,00 %","0,00 ₽",0,"50,00 %"
1550755817.1493968493,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1559808362.1497134847,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1589617739.1495641739,2,00:00:45,"0,00 %","0,00 ₽",0,"50,00 %"
1590922368.1495746653,2,00:00:06,"50,00 %","0,00 ₽",0,"0,00 %"
1601111519.1495736211,2,00:03:06,"50,00 %","0,00 ₽",0,"0,00 %"
1602138655.1494424707,2,00:00:45,"50,00 %","0,00 ₽",0,"0,00 %"
1602631526.1495094341,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
1613955444.1495045604,2,00:03:24,"0,00 %","0,00 ₽",0,"0,00 %"
1618807550.1494158722,2,00:01:29,"0,00 %","0,00 ₽",0,"0,00 %"
1622049726.1494482703,2,00:02:02,"0,00 %","0,00 ₽",0,"0,00 %"
162316194.1495328426,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1644189568.1493406697,2,00:01:36,"50,00 %","0,00 ₽",0,"0,00 %"
1653119279.1496257664,2,00:04:36,"0,00 %","0,00 ₽",0,"0,00 %"
165572319.1495680507,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1676168968.1494643254,2,00:03:31,"50,00 %","0,00 ₽",0,"0,00 %"
1677791824.1495983212,2,00:03:48,"0,00 %","0,00 ₽",0,"100,00 %"
1723648973.1497556119,2,00:24:43,"0,00 %","0,00 ₽",0,"0,00 %"
1736907469.1497206256,2,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1742611526.1496365995,2,00:00:54,"0,00 %","0,00 ₽",0,"0,00 %"
1742714889.1497626231,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1768602208.1495035298,2,00:04:53,"0,00 %","0,00 ₽",0,"0,00 %"
1795730397.1494965613,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1861584039.1493991494,2,00:01:28,"0,00 %","0,00 ₽",0,"0,00 %"
1861870171.1496820146,2,00:01:37,"50,00 %","0,00 ₽",0,"0,00 %"
1902771488.1494741203,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1904850904.1495461328,2,00:00:23,"0,00 %","0,00 ₽",0,"50,00 %"
192749693.1464232968,2,00:02:25,"0,00 %","0,00 ₽",0,"0,00 %"
195078346.1497107187,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1973961486.1493713684,2,00:01:35,"0,00 %","0,00 ₽",0,"0,00 %"
1997979005.1495403688,2,00:02:54,"0,00 %","0,00 ₽",0,"0,00 %"
2015492720.1495916992,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
2016419910.1496505483,2,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
2087881029.1494274798,2,00:01:58,"0,00 %","0,00 ₽",0,"0,00 %"
2099745032.1496645758,2,00:01:28,"50,00 %","0,00 ₽",0,"0,00 %"
2105452965.1493695301,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
210817759.1494264363,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
2108411584.1494315353,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
2114789600.1497074642,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
211582982.1493889586,2,00:00:32,"50,00 %","0,00 ₽",0,"0,00 %"
2126866292.1497181773,2,00:11:20,"0,00 %","0,00 ₽",0,"0,00 %"
2129692808.1494814635,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
216234125.1493737555,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
224712795.1496380930,2,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
232088886.1495703002,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
300037245.1496389543,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
302063383.1497471305,2,00:00:20,"50,00 %","0,00 ₽",0,"0,00 %"
322697670.1496560824,2,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
333418071.1497646300,2,00:01:00,"0,00 %","0,00 ₽",0,"0,00 %"
334330244.1494499872,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
368726463.1494859825,2,00:01:07,"50,00 %","0,00 ₽",0,"0,00 %"
40036235.1494502443,2,00:00:44,"50,00 %","0,00 ₽",0,"0,00 %"
441201740.1494965398,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
46961635.1494577676,2,00:01:48,"50,00 %","0,00 ₽",0,"0,00 %"
478161178.1493931312,2,00:13:08,"0,00 %","0,00 ₽",0,"50,00 %"
481198744.1494247042,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
482196589.1495627149,2,00:02:43,"0,00 %","0,00 ₽",0,"50,00 %"
499431313.1449056627,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
512109574.1494499011,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
558613472.1494427830,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
566981707.1496124171,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
612769462.1493620844,2,00:01:14,"50,00 %","0,00 ₽",0,"0,00 %"
620078736.1495120065,2,00:00:31,"0,00 %","0,00 ₽",0,"0,00 %"
620793969.1497795524,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
637438890.1496258130,2,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
638198829.1494975327,2,00:00:45,"0,00 %","0,00 ₽",0,"0,00 %"
657463919.1496054263,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
668061471.1495197415,2,00:03:09,"0,00 %","0,00 ₽",0,"0,00 %"
672704684.1494603704,2,00:08:32,"0,00 %","0,00 ₽",0,"0,00 %"
692219403.1496915058,2,00:00:33,"0,00 %","0,00 ₽",0,"0,00 %"
704863527.1496650282,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
713261459.1494513820,2,00:01:47,"0,00 %","0,00 ₽",0,"0,00 %"
73322966.1497115920,2,00:00:45,"50,00 %","0,00 ₽",0,"0,00 %"
734928271.1482100219,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
73620425.1493750930,2,00:03:05,"0,00 %","0,00 ₽",0,"0,00 %"
74008911.1495821699,2,00:00:07,"0,00 %","0,00 ₽",0,"0,00 %"
741018281.1490808149,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
761059354.1493996486,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
771079779.1497780332,2,00:00:07,"0,00 %","0,00 ₽",0,"0,00 %"
783759215.1496159036,2,00:00:28,"0,00 %","0,00 ₽",0,"50,00 %"
80763799.1496646989,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
845197544.1495771679,2,00:00:20,"0,00 %","0,00 ₽",0,"0,00 %"
859590597.1495014270,2,00:02:41,"0,00 %","0,00 ₽",0,"0,00 %"
863637087.1495996309,2,00:00:52,"50,00 %","0,00 ₽",0,"50,00 %"
864831327.1495702616,2,00:01:02,"0,00 %","0,00 ₽",0,"0,00 %"
912884605.1494761689,2,00:02:05,"0,00 %","0,00 ₽",0,"0,00 %"
923320657.1494603292,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
933788165.1476964499,2,00:02:23,"0,00 %","0,00 ₽",0,"50,00 %"
952525779.1494860641,2,00:01:06,"50,00 %","0,00 ₽",0,"0,00 %"
958231628.1493680654,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
965019614.1495097965,2,00:02:55,"0,00 %","0,00 ₽",0,"0,00 %"
1000032236.1497333166,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1003167263.1493709039,1,00:00:54,"0,00 %","0,00 ₽",0,"0,00 %"
1004903797.1497210006,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1005936482.1496225587,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1006707535.1494516122,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1008874091.1495212861,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1009640804.1493640484,1,00:01:29,"0,00 %","0,00 ₽",0,"0,00 %"
1010893252.1496836905,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1012461956.1494269378,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1013456469.1497531074,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1018524037.1496302952,1,00:00:45,"0,00 %","0,00 ₽",0,"0,00 %"
1022371340.1495384030,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1023019200.1495465395,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1026409974.1493737488,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1026687710.1496609465,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1027862255.1494586556,1,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1030939978.1495987713,1,00:02:25,"0,00 %","0,00 ₽",0,"100,00 %"
1033216432.1494188321,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1035035430.1494744588,1,00:07:16,"0,00 %","0,00 ₽",0,"0,00 %"
1035442958.1497175147,1,00:01:34,"0,00 %","0,00 ₽",0,"0,00 %"
103560664.1495475707,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1036141983.1496586737,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
103624264.1495638416,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1037258632.1497498478,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1037368949.1496640558,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1037849183.1493758164,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1040197761.1495051457,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1040884054.1494946953,1,00:00:22,"0,00 %","0,00 ₽",0,"100,00 %"
1050077309.1494681381,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1050467142.1493827712,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1050998141.1497450522,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1053175485.1497549674,1,00:05:29,"0,00 %","0,00 ₽",0,"0,00 %"
1054736304.1493629281,1,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
1054855387.1495748271,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1056753578.1494396000,1,00:01:02,"0,00 %","0,00 ₽",0,"0,00 %"
1062962814.1494857648,1,00:04:34,"0,00 %","0,00 ₽",0,"0,00 %"
1066964386.1496648899,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1068182268.1494763160,1,00:20:40,"0,00 %","0,00 ₽",0,"0,00 %"
1069035410.1493454768,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1071777512.1495103687,1,00:03:30,"0,00 %","0,00 ₽",0,"0,00 %"
1071860680.1495027119,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1078710912.1494448021,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1080275050.1496646492,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1082849717.1493879720,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1085212648.1494176584,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1088253888.1494143092,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1091800711.1496319336,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1093138541.1494696802,1,00:12:04,"0,00 %","0,00 ₽",0,"0,00 %"
1098916747.1493900431,1,00:04:43,"0,00 %","0,00 ₽",0,"0,00 %"
1099498999.1496146622,1,00:00:20,"0,00 %","0,00 ₽",0,"100,00 %"
110067161.1497708887,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1100812454.1496151177,1,00:01:05,"0,00 %","0,00 ₽",0,"0,00 %"
1104191719.1494152486,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1104223268.1494040641,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1107108739.1496244257,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1108317330.1497646245,1,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1109512101.1495386176,1,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
1110177808.1494654772,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1111073848.1494534680,1,00:06:14,"0,00 %","0,00 ₽",0,"0,00 %"
1115049659.1495740363,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1115178993.1494989238,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1120321510.1496918085,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1121002995.1495738950,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1121786173.1494933739,1,00:01:46,"0,00 %","0,00 ₽",0,"0,00 %"
1121808342.1493738911,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1122184792.1496222375,1,00:14:15,"0,00 %","0,00 ₽",0,"0,00 %"
1125067008.1475694042,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1126070810.1496940730,1,00:06:00,"0,00 %","0,00 ₽",0,"0,00 %"
1129396636.1494586825,1,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
113106746.1488272494,1,00:01:48,"0,00 %","0,00 ₽",0,"0,00 %"
113189329.1497561936,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
113656810.1496682437,1,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1139526176.1488659528,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1139814482.1496827514,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1142102118.1494251049,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1143024300.1497453059,1,00:41:19,"0,00 %","0,00 ₽",0,"0,00 %"
1143225775.1496304287,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
114499760.1496942470,1,00:01:54,"0,00 %","0,00 ₽",0,"0,00 %"
