# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1471564974.1442561770,27,00:12:29,"0,00 %","0,00 ₽",0,"18,52 %"
15309904.1492135010,18,00:02:36,"5,56 %","0,00 ₽",0,"0,00 %"
300082639.1495022742,12,00:03:50,"16,67 %","0,00 ₽",0,"0,00 %"
1692045541.1495383540,11,00:00:11,"45,45 %","0,00 ₽",0,"0,00 %"
2009549466.1447738445,11,00:01:59,"0,00 %","0,00 ₽",0,"18,18 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
686846718.1389592307,9,00:03:10,"0,00 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
1629760989.1492449116,7,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1706832400.1494579062,6,00:14:12,"0,00 %","0,00 ₽",0,"0,00 %"
488915412.1494402613,6,00:04:00,"0,00 %","0,00 ₽",0,"16,67 %"
500727041.1482239926,6,00:00:52,"33,33 %","0,00 ₽",0,"16,67 %"
726675663.1494859186,6,00:00:55,"0,00 %","0,00 ₽",0,"16,67 %"
846240744.1494434842,6,00:01:55,"16,67 %","0,00 ₽",0,"0,00 %"
1594532085.1492097729,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1743038736.1495133679,5,00:13:43,"0,00 %","0,00 ₽",0,"0,00 %"
214922910.1495096141,5,00:15:08,"0,00 %","0,00 ₽",0,"20,00 %"
33757948.1494860165,5,00:07:01,"0,00 %","0,00 ₽",0,"0,00 %"
70317164.1492452818,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1134040667.1495096362,4,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
1235729460.1488211407,4,00:01:25,"0,00 %","0,00 ₽",0,"0,00 %"
1325157393.1493744112,4,00:07:22,"0,00 %","0,00 ₽",0,"0,00 %"
1405005554.1494980771,4,00:05:43,"25,00 %","0,00 ₽",0,"0,00 %"
1484413294.1495019219,4,00:02:59,"25,00 %","0,00 ₽",0,"0,00 %"
1714062831.1495101537,4,00:05:46,"0,00 %","0,00 ₽",0,"0,00 %"
1754633381.1491743906,4,00:03:53,"25,00 %","0,00 ₽",0,"0,00 %"
1878891837.1493010928,4,00:01:54,"25,00 %","0,00 ₽",0,"25,00 %"
201309344.1479737181,4,00:01:09,"0,00 %","0,00 ₽",0,"0,00 %"
457582818.1447580535,4,00:02:02,"25,00 %","0,00 ₽",0,"0,00 %"
924692635.1478335233,4,00:02:16,"0,00 %","0,00 ₽",0,"25,00 %"
1014887886.1493282582,3,00:00:39,"0,00 %","0,00 ₽",0,"0,00 %"
1021517048.1496841113,3,00:00:06,"33,33 %","0,00 ₽",0,"0,00 %"
1040227868.1494441795,3,00:06:18,"0,00 %","0,00 ₽",0,"66,67 %"
1113097517.1494983117,3,00:00:10,"33,33 %","0,00 ₽",0,"0,00 %"
1117273081.1494855780,3,00:06:18,"0,00 %","0,00 ₽",0,"0,00 %"
11655932.1496161612,3,00:01:58,"33,33 %","0,00 ₽",0,"0,00 %"
1194853552.1495377769,3,00:01:11,"0,00 %","0,00 ₽",0,"100,00 %"
122979330.1495694904,3,00:00:07,"66,67 %","0,00 ₽",0,"0,00 %"
1325601950.1495525772,3,00:00:05,"66,67 %","0,00 ₽",0,"0,00 %"
1337615252.1495032508,3,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
1381299327.1493787404,3,00:09:29,"33,33 %","0,00 ₽",0,"33,33 %"
1424324171.1495033482,3,00:00:40,"0,00 %","0,00 ₽",0,"33,33 %"
149832443.1494942518,3,00:01:46,"0,00 %","0,00 ₽",0,"0,00 %"
1548022470.1496659827,3,00:00:29,"0,00 %","0,00 ₽",0,"0,00 %"
1549039454.1492513749,3,00:04:36,"33,33 %","0,00 ₽",0,"0,00 %"
1575784480.1495380665,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1609756602.1495094470,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1616125979.1457018089,3,00:10:01,"0,00 %","0,00 ₽",0,"0,00 %"
167816899.1494990016,3,00:00:27,"33,33 %","0,00 ₽",0,"0,00 %"
1679291160.1493094303,3,00:01:30,"0,00 %","0,00 ₽",0,"0,00 %"
1695780161.1494497226,3,00:01:13,"33,33 %","0,00 ₽",0,"33,33 %"
1710164868.1495121872,3,00:01:35,"0,00 %","0,00 ₽",0,"0,00 %"
173023373.1493638088,3,00:02:24,"0,00 %","0,00 ₽",0,"0,00 %"
1769578803.1489925630,3,00:10:08,"0,00 %","0,00 ₽",0,"0,00 %"
1788276127.1493716663,3,00:01:47,"33,33 %","0,00 ₽",0,"33,33 %"
1825848711.1492507091,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1864663790.1494993045,3,00:00:33,"33,33 %","0,00 ₽",0,"0,00 %"
19707891.1496298188,3,00:00:24,"33,33 %","0,00 ₽",0,"33,33 %"
19813319.1494413875,3,00:01:18,"33,33 %","0,00 ₽",0,"0,00 %"
2037279398.1497442990,3,00:00:00,"66,67 %","0,00 ₽",0,"0,00 %"
2053381531.1490362283,3,00:00:23,"33,33 %","0,00 ₽",0,"0,00 %"
2060177772.1494404411,3,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
2062273885.1492098156,3,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
239646909.1465391951,3,00:20:13,"33,33 %","0,00 ₽",0,"0,00 %"
264917388.1494417158,3,00:00:24,"0,00 %","0,00 ₽",0,"33,33 %"
275173255.1494498010,3,00:01:18,"0,00 %","0,00 ₽",0,"33,33 %"
302992443.1494605509,3,00:04:14,"0,00 %","0,00 ₽",0,"0,00 %"
472792197.1486717361,3,00:11:08,"0,00 %","0,00 ₽",0,"0,00 %"
480347388.1495039427,3,00:00:58,"0,00 %","0,00 ₽",0,"0,00 %"
511571473.1495138399,3,00:01:08,"33,33 %","0,00 ₽",0,"0,00 %"
552935907.1494953261,3,00:03:55,"0,00 %","0,00 ₽",0,"33,33 %"
590633627.1495190829,3,00:15:40,"0,00 %","0,00 ₽",0,"33,33 %"
623115922.1496181913,3,00:04:04,"0,00 %","0,00 ₽",0,"66,67 %"
631139438.1494992534,3,00:00:38,"33,33 %","0,00 ₽",0,"0,00 %"
665869592.1497120501,3,< 00:00:01,"0,00 %","0,00 ₽",0,"0,00 %"
72656988.1495645800,3,00:00:11,"33,33 %","0,00 ₽",0,"33,33 %"
80698041.1495461253,3,00:00:36,"0,00 %","0,00 ₽",0,"0,00 %"
825284909.1493704879,3,00:00:54,"33,33 %","0,00 ₽",0,"0,00 %"
828825805.1495101777,3,00:00:29,"0,00 %","0,00 ₽",0,"0,00 %"
89394305.1493737746,3,00:01:04,"33,33 %","0,00 ₽",0,"0,00 %"
905705610.1494968353,3,00:02:00,"0,00 %","0,00 ₽",0,"0,00 %"
1006497878.1495701156,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1007501482.1495702695,2,00:01:09,"50,00 %","0,00 ₽",0,"0,00 %"
1011445742.1493737087,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1012583116.1460518242,2,00:01:38,"50,00 %","0,00 ₽",0,"0,00 %"
101896661.1495104743,2,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1027251334.1495694098,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1036548183.1494861767,2,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
1036551979.1494534146,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
1048131025.1493727128,2,00:01:01,"0,00 %","0,00 ₽",0,"0,00 %"
1049456162.1495030069,2,00:02:29,"0,00 %","0,00 ₽",0,"0,00 %"
1049830673.1494961407,2,00:01:51,"50,00 %","0,00 ₽",0,"0,00 %"
1052439730.1495141686,2,00:11:47,"0,00 %","0,00 ₽",0,"0,00 %"
1052614286.1475135728,2,00:00:30,"0,00 %","0,00 ₽",0,"50,00 %"
105634112.1494949935,2,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
1073983696.1494607190,2,00:01:14,"0,00 %","0,00 ₽",0,"0,00 %"
1074260250.1479359383,2,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
1082111764.1493725837,2,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
1084408706.1494603676,2,00:01:59,"0,00 %","0,00 ₽",0,"50,00 %"
1088499247.1496648024,2,00:01:03,"0,00 %","0,00 ₽",0,"0,00 %"
1093663166.1495632943,2,00:02:34,"0,00 %","0,00 ₽",0,"50,00 %"
1102831882.1495378588,2,00:02:14,"0,00 %","0,00 ₽",0,"0,00 %"
1104106450.1495027677,2,00:01:20,"50,00 %","0,00 ₽",0,"0,00 %"
1106868771.1494945555,2,00:09:03,"0,00 %","0,00 ₽",0,"0,00 %"
1108390442.1495378106,2,00:10:47,"0,00 %","0,00 ₽",0,"0,00 %"
1109031747.1495017069,2,00:05:46,"0,00 %","0,00 ₽",0,"0,00 %"
1115513237.1495704245,2,00:19:56,"0,00 %","0,00 ₽",0,"0,00 %"
1118179780.1495041110,2,00:00:18,"0,00 %","0,00 ₽",0,"50,00 %"
1118768377.1495198573,2,00:06:30,"0,00 %","0,00 ₽",0,"0,00 %"
1122624792.1463041210,2,00:11:16,"0,00 %","0,00 ₽",0,"0,00 %"
1122943219.1493749938,2,00:02:16,"0,00 %","0,00 ₽",0,"0,00 %"
1135589851.1494568824,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1136201050.1494991625,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1139403885.1494866073,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1145523334.1493985638,2,00:00:54,"0,00 %","0,00 ₽",0,"0,00 %"
1146926047.1493731878,2,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1147998288.1496149758,2,00:00:06,"0,00 %","0,00 ₽",0,"50,00 %"
1186857784.1494409430,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1200916109.1493708854,2,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1217296062.1494952166,2,00:02:42,"0,00 %","0,00 ₽",0,"0,00 %"
1235543136.1494407032,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1240113070.1495719589,2,00:02:51,"0,00 %","0,00 ₽",0,"50,00 %"
1245676946.1496159972,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1255217062.1493765386,2,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
1257534210.1495523673,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1258677728.1495026886,2,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1266382906.1489762938,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1270980143.1495016896,2,00:02:43,"0,00 %","0,00 ₽",0,"0,00 %"
1282174640.1495644219,2,00:04:16,"0,00 %","0,00 ₽",0,"0,00 %"
129534229.1497446468,2,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
1313435235.1495466142,2,00:01:03,"0,00 %","0,00 ₽",0,"50,00 %"
