# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1593228938.1453274313,37,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
123127958.1405404858,24,00:04:27,"0,00 %","0,00 ₽",0,"41,67 %"
749987037.1463484414,16,00:01:10,"0,00 %","0,00 ₽",0,"0,00 %"
1621755658.1492068420,15,00:00:10,"6,67 %","0,00 ₽",0,"0,00 %"
19544911.1495719116,11,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
331274961.1496838014,9,00:15:40,"55,56 %","0,00 ₽",0,"0,00 %"
1298223537.1495173242,8,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
1457573879.1495026324,6,00:00:32,"50,00 %","0,00 ₽",0,"0,00 %"
903017469.1493902974,6,00:02:53,"0,00 %","0,00 ₽",0,"0,00 %"
996212336.1496037487,6,00:01:46,"0,00 %","0,00 ₽",0,"0,00 %"
1130449215.1491424941,5,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
521832553.1495199649,5,00:01:21,"20,00 %","0,00 ₽",0,"0,00 %"
94747210.1494511115,5,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1111630917.1422029801,4,00:05:20,"0,00 %","0,00 ₽",0,"0,00 %"
1807630632.1497526351,4,00:02:48,"25,00 %","0,00 ₽",0,"0,00 %"
225079714.1497520943,4,00:06:19,"0,00 %","0,00 ₽",0,"25,00 %"
30904484.1494514088,4,00:13:33,"25,00 %","0,00 ₽",0,"0,00 %"
440913082.1496728756,4,00:02:45,"25,00 %","0,00 ₽",0,"0,00 %"
976266059.1493143118,4,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1058080933.1474880429,3,00:11:23,"0,00 %","0,00 ₽",0,"0,00 %"
1549625709.1495525089,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1620722456.1495110616,3,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1645813042.1496054076,3,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
1916895394.1494498965,3,00:02:49,"0,00 %","0,00 ₽",0,"0,00 %"
2140300197.1494582863,3,00:03:26,"33,33 %","0,00 ₽",0,"0,00 %"
428751894.1495020673,3,00:00:42,"0,00 %","0,00 ₽",0,"0,00 %"
500598371.1493990762,3,00:15:40,"0,00 %","0,00 ₽",0,"0,00 %"
942703958.1496331715,3,00:05:31,"33,33 %","0,00 ₽",0,"0,00 %"
950426861.1494934360,3,00:04:51,"0,00 %","0,00 ₽",0,"33,33 %"
1007362804.1493939929,2,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
1010230147.1496172900,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1025033871.1480186370,2,00:13:19,"0,00 %","0,00 ₽",0,"0,00 %"
1032337324.1494690364,2,00:00:09,"50,00 %","0,00 ₽",0,"0,00 %"
1103745982.1497800349,2,00:00:11,"50,00 %","0,00 ₽",0,"0,00 %"
1150086513.1449502596,2,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1192385828.1461327816,2,00:05:31,"0,00 %","0,00 ₽",0,"50,00 %"
1215852842.1493699314,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1329589492.1489990099,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1390016571.1496867726,2,00:01:46,"0,00 %","0,00 ₽",0,"0,00 %"
1390528537.1496045419,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1411617171.1475566805,2,00:02:20,"0,00 %","0,00 ₽",0,"0,00 %"
1439105620.1495965691,2,00:26:59,"0,00 %","0,00 ₽",0,"0,00 %"
1446115537.1496681143,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1495671625.1495454325,2,00:00:07,"0,00 %","0,00 ₽",0,"0,00 %"
1502167366.1495983542,2,00:00:06,"0,00 %","0,00 ₽",0,"100,00 %"
1505585442.1495713329,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1523338788.1497714526,2,00:00:34,"0,00 %","0,00 ₽",0,"0,00 %"
1543717900.1490678771,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1613955444.1495045604,2,00:03:24,"0,00 %","0,00 ₽",0,"0,00 %"
162316194.1495328426,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1644189568.1493406697,2,00:01:36,"50,00 %","0,00 ₽",0,"0,00 %"
1676509062.1493880301,2,00:00:28,"0,00 %","0,00 ₽",0,"0,00 %"
1706696454.1471333725,2,00:00:06,"50,00 %","0,00 ₽",0,"0,00 %"
1707651168.1497076296,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1714887252.1494787067,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1736907469.1497206256,2,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1772735441.1479963040,2,00:00:24,"0,00 %","0,00 ₽",0,"0,00 %"
180271309.1494141664,2,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
185953435.1495201342,2,00:10:20,"0,00 %","0,00 ₽",0,"50,00 %"
1880573315.1488438267,2,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1895258697.1495000429,2,00:02:51,"0,00 %","0,00 ₽",0,"0,00 %"
1948654485.1493391613,2,00:00:55,"0,00 %","0,00 ₽",0,"0,00 %"
1952689752.1494415682,2,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
197486364.1493354959,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1981852543.1493803500,2,00:08:56,"0,00 %","0,00 ₽",0,"0,00 %"
2041527497.1495786576,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
2058010604.1496943227,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
2107024038.1495782117,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
2111068767.1492859511,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
2127833848.1494670831,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
247991468.1494835113,2,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
346653627.1494865769,2,00:00:17,"0,00 %","0,00 ₽",0,"0,00 %"
43404826.1495371885,2,00:00:00,"0,00 %","0,00 ₽",0,"0,00 %"
455259576.1474712460,2,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
547633999.1495735559,2,00:01:26,"0,00 %","0,00 ₽",0,"0,00 %"
577958362.1494867027,2,00:01:29,"0,00 %","0,00 ₽",0,"0,00 %"
600228412.1493892944,2,00:01:07,"0,00 %","0,00 ₽",0,"0,00 %"
639908296.1495471267,2,00:01:50,"0,00 %","0,00 ₽",0,"0,00 %"
668821711.1493628469,2,00:03:06,"0,00 %","0,00 ₽",0,"50,00 %"
669918778.1494497710,2,00:02:29,"0,00 %","0,00 ₽",0,"50,00 %"
672704684.1494603704,2,00:08:32,"0,00 %","0,00 ₽",0,"0,00 %"
676487600.1494936199,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
680532209.1497002891,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
687608103.1495277286,2,00:00:58,"0,00 %","0,00 ₽",0,"0,00 %"
709202244.1497174660,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
780701795.1495526143,2,00:00:53,"0,00 %","0,00 ₽",0,"0,00 %"
781466849.1495783945,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
78209304.1497305056,2,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
793377746.1495881257,2,00:14:59,"0,00 %","0,00 ₽",0,"0,00 %"
847602077.1493797633,2,00:01:35,"0,00 %","0,00 ₽",0,"0,00 %"
84818248.1495834999,2,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
861496944.1496054062,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
862779956.1464615019,2,00:03:29,"0,00 %","0,00 ₽",0,"0,00 %"
958231628.1493680654,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
998912501.1493985527,2,00:02:29,"0,00 %","0,00 ₽",0,"50,00 %"
ad6c7d47-5017-48c3-ac42-937a6118b1ec,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
804e2940-afe7-4161-b0d9-be0bca9212fd,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
d2683084-ce0e-4325-884f-48bdcc4e0ffe,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1000716523.1497539604,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1003610435.1493187351,1,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
1005433302.1496532908,1,00:01:08,"0,00 %","0,00 ₽",0,"100,00 %"
1005477730.1497772859,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1005823494.1476861716,1,00:07:30,"0,00 %","0,00 ₽",0,"0,00 %"
1005988472.1495298492,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
