# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1725135215.1490431795,69,00:01:20,"1,45 %","0,00 ₽",0,"0,00 %"
893564022.1488460484,22,00:10:49,"4,55 %","0,00 ₽",0,"31,82 %"
2047847416.1494733684,19,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
15309904.1492135010,18,00:02:36,"5,56 %","0,00 ₽",0,"0,00 %"
287223981.1495517399,17,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
1842201820.1495636128,12,00:07:12,"0,00 %","0,00 ₽",0,"41,67 %"
1692045541.1495383540,11,00:00:11,"45,45 %","0,00 ₽",0,"0,00 %"
2034380489.1496060696,11,00:15:50,"0,00 %","0,00 ₽",0,"0,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
1152120869.1495113669,9,00:06:14,"0,00 %","0,00 ₽",0,"33,33 %"
1876184893.1494846385,9,00:03:23,"0,00 %","0,00 ₽",0,"0,00 %"
1998945113.1494394914,9,00:08:02,"0,00 %","0,00 ₽",0,"0,00 %"
1888447593.1491152077,8,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
820914681.1491912753,8,00:07:06,"0,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
1344276843.1466760045,6,00:14:09,"16,67 %","0,00 ₽",0,"0,00 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
2124922954.1495700601,6,00:03:59,"0,00 %","0,00 ₽",0,"0,00 %"
831846519.1486547284,6,00:02:20,"0,00 %","0,00 ₽",0,"0,00 %"
1086049624.1494833969,5,00:04:19,"20,00 %","0,00 ₽",0,"0,00 %"
1280925443.1495261797,5,00:01:27,"20,00 %","0,00 ₽",0,"0,00 %"
