# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
1593228938.1453274313,37,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
123127958.1405404858,24,00:04:27,"0,00 %","0,00 ₽",0,"41,67 %"
2047847416.1494733684,19,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1815749973.1493318472,16,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
19544911.1495719116,11,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
1182187327.1494593570,10,00:02:23,"0,00 %","0,00 ₽",0,"10,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
1626501736.1454581767,10,00:08:47,"10,00 %","0,00 ₽",0,"30,00 %"
628234179.1477574037,10,00:14:12,"0,00 %","0,00 ₽",0,"10,00 %"
2063265166.1494833645,8,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
1095686964.1494930352,6,00:03:47,"0,00 %","0,00 ₽",0,"0,00 %"
1298223537.1495173242,6,00:00:05,"50,00 %","0,00 ₽",0,"0,00 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
2124922954.1495700601,6,00:03:59,"0,00 %","0,00 ₽",0,"0,00 %"
903017469.1493902974,6,00:02:53,"0,00 %","0,00 ₽",0,"0,00 %"
1086049624.1494833969,5,00:04:19,"20,00 %","0,00 ₽",0,"0,00 %"
1206010680.1496434886,5,00:16:24,"0,00 %","0,00 ₽",0,"60,00 %"
1267302495.1493810764,5,00:03:19,"20,00 %","0,00 ₽",0,"0,00 %"
1551359613.1496828787,5,00:00:23,"20,00 %","0,00 ₽",0,"0,00 %"
157091640.1491198205,5,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1883585191.1496735426,5,00:01:32,"0,00 %","0,00 ₽",0,"20,00 %"
2140300197.1494582863,5,00:02:13,"20,00 %","0,00 ₽",0,"0,00 %"
544163628.1494841501,5,00:09:09,"20,00 %","0,00 ₽",0,"0,00 %"
641712577.1496777981,5,00:03:10,"0,00 %","0,00 ₽",0,"0,00 %"
730879215.1494883576,5,00:01:26,"20,00 %","0,00 ₽",0,"0,00 %"
738560707.1487349967,5,00:00:03,"80,00 %","0,00 ₽",0,"0,00 %"
776955480.1494956639,5,00:04:48,"0,00 %","0,00 ₽",0,"0,00 %"
846240744.1494434842,5,00:02:17,"20,00 %","0,00 ₽",0,"0,00 %"
1212216582.1495440612,4,00:08:33,"0,00 %","0,00 ₽",0,"0,00 %"
1436008772.1493810050,4,00:02:43,"25,00 %","0,00 ₽",0,"25,00 %"
1484413294.1495019219,4,00:02:59,"25,00 %","0,00 ₽",0,"0,00 %"
1730891204.1496145172,4,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1748221791.1494106644,4,00:04:46,"0,00 %","0,00 ₽",0,"0,00 %"
1820272919.1497113337,4,00:05:21,"25,00 %","0,00 ₽",0,"0,00 %"
1878891837.1493010928,4,00:01:54,"25,00 %","0,00 ₽",0,"25,00 %"
1918866076.1473838725,4,00:03:21,"0,00 %","0,00 ₽",0,"0,00 %"
224837598.1495103101,4,00:07:20,"0,00 %","0,00 ₽",0,"0,00 %"
30904484.1494514088,4,00:13:33,"25,00 %","0,00 ₽",0,"0,00 %"
425667873.1481806483,4,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
511612093.1497601829,4,00:00:29,"25,00 %","0,00 ₽",0,"0,00 %"
559625167.1490786234,4,00:20:34,"0,00 %","0,00 ₽",0,"25,00 %"
598897864.1496561325,4,00:16:45,"0,00 %","0,00 ₽",0,"0,00 %"
600397207.1495444355,4,00:31:07,"0,00 %","0,00 ₽",0,"25,00 %"
719856645.1492617390,4,00:00:09,"25,00 %","0,00 ₽",0,"0,00 %"
976266059.1493143118,4,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
985482497.1494500623,4,00:02:01,"0,00 %","0,00 ₽",0,"25,00 %"
1021517048.1496841113,3,00:00:06,"33,33 %","0,00 ₽",0,"0,00 %"
1058080933.1474880429,3,00:11:23,"0,00 %","0,00 ₽",0,"0,00 %"
1115513237.1495704245,3,00:13:17,"0,00 %","0,00 ₽",0,"0,00 %"
1248952397.1494943783,3,00:06:59,"0,00 %","0,00 ₽",0,"33,33 %"
154258940.1496755448,3,00:10:12,"0,00 %","0,00 ₽",0,"0,00 %"
1586525690.1494521254,3,00:01:31,"0,00 %","0,00 ₽",0,"0,00 %"
1608018894.1495701371,3,00:02:35,"33,33 %","0,00 ₽",0,"66,67 %"
1686373675.1495452608,3,00:00:39,"0,00 %","0,00 ₽",0,"33,33 %"
1700151548.1492709135,3,00:00:09,"33,33 %","0,00 ₽",0,"0,00 %"
1709360407.1495229318,3,00:00:25,"0,00 %","0,00 ₽",0,"0,00 %"
1709543817.1494497518,3,00:00:17,"0,00 %","0,00 ₽",0,"0,00 %"
1825848711.1492507091,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1848983378.1485773707,3,00:00:16,"0,00 %","0,00 ₽",0,"100,00 %"
1883434031.1494851533,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1907631687.1482950460,3,00:01:31,"0,00 %","0,00 ₽",0,"33,33 %"
1936082854.1497272569,3,00:16:47,"0,00 %","0,00 ₽",0,"33,33 %"
1950666159.1497105750,3,00:02:11,"33,33 %","0,00 ₽",0,"0,00 %"
196848670.1494948520,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
19707891.1496298188,3,00:00:24,"33,33 %","0,00 ₽",0,"33,33 %"
1973309605.1493242397,3,00:04:48,"33,33 %","0,00 ₽",0,"0,00 %"
2034125994.1495177953,3,00:00:05,"33,33 %","0,00 ₽",0,"0,00 %"
2037749048.1495721657,3,00:00:10,"33,33 %","0,00 ₽",0,"0,00 %"
2060177772.1494404411,3,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
2098654274.1495053373,3,00:06:35,"0,00 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,3,00:00:44,"0,00 %","0,00 ₽",0,"0,00 %"
213984198.1496581509,3,00:02:12,"0,00 %","0,00 ₽",0,"0,00 %"
228437455.1494342848,3,00:14:02,"0,00 %","0,00 ₽",0,"0,00 %"
235534940.1496696403,3,00:01:15,"0,00 %","0,00 ₽",0,"0,00 %"
238123353.1495809466,3,00:01:32,"0,00 %","0,00 ₽",0,"0,00 %"
239646909.1465391951,3,00:20:13,"33,33 %","0,00 ₽",0,"0,00 %"
