# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1725135215.1490431795,69,00:01:20,"1,45 %","0,00 ₽",0,"0,00 %"
893564022.1488460484,22,00:10:49,"4,55 %","0,00 ₽",0,"31,82 %"
749987037.1463484414,16,00:01:10,"0,00 %","0,00 ₽",0,"0,00 %"
1842201820.1495636128,12,00:07:12,"0,00 %","0,00 ₽",0,"41,67 %"
2034380489.1496060696,11,00:15:50,"0,00 %","0,00 ₽",0,"0,00 %"
1876184893.1494846385,9,00:03:23,"0,00 %","0,00 ₽",0,"0,00 %"
1998945113.1494394914,9,00:08:02,"0,00 %","0,00 ₽",0,"0,00 %"
2028074702.1494019112,7,00:04:17,"14,29 %","0,00 ₽",0,"0,00 %"
1457573879.1495026324,6,00:00:32,"50,00 %","0,00 ₽",0,"0,00 %"
1799002031.1494570283,5,00:07:10,"0,00 %","0,00 ₽",0,"0,00 %"
952995882.1495439088,5,00:01:11,"0,00 %","0,00 ₽",0,"0,00 %"
502276749.1496162804,4,00:08:30,"25,00 %","0,00 ₽",0,"50,00 %"
1093369955.1492506825,3,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1266910523.1493803578,3,00:01:33,"33,33 %","0,00 ₽",0,"0,00 %"
1368420550.1493847719,3,00:01:56,"0,00 %","0,00 ₽",0,"0,00 %"
1984287289.1495210758,3,00:02:02,"0,00 %","0,00 ₽",0,"33,33 %"
42012855.1494881788,3,00:03:14,"0,00 %","0,00 ₽",0,"0,00 %"
703831039.1495346313,3,00:06:28,"0,00 %","0,00 ₽",0,"0,00 %"
811589250.1497478451,3,00:02:18,"0,00 %","0,00 ₽",0,"0,00 %"
882518103.1495914448,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
945773849.1496309596,3,00:10:41,"33,33 %","0,00 ₽",0,"33,33 %"
1098833235.1494530020,2,00:04:53,"0,00 %","0,00 ₽",0,"50,00 %"
136062244.1496993164,2,00:00:21,"0,00 %","0,00 ₽",0,"50,00 %"
1411616995.1496398192,2,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1466254271.1496919414,2,00:08:34,"0,00 %","0,00 ₽",0,"50,00 %"
