# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
1815749973.1493318472,16,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
2009549466.1447738445,15,00:03:50,"0,00 %","0,00 ₽",0,"13,33 %"
1703831900.1495617998,11,00:02:07,"27,27 %","0,00 ₽",0,"0,00 %"
1182187327.1494593570,10,00:02:23,"0,00 %","0,00 ₽",0,"10,00 %"
1998945113.1494394914,9,00:08:02,"0,00 %","0,00 ₽",0,"0,00 %"
2063265166.1494833645,8,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
492702196.1496807877,8,00:01:34,"0,00 %","0,00 ₽",0,"0,00 %"
881598142.1496774880,8,00:02:43,"25,00 %","0,00 ₽",0,"0,00 %"
1126419872.1495007574,7,00:00:15,"0,00 %","0,00 ₽",0,"14,29 %"
1290736410.1496136804,7,00:04:57,"0,00 %","0,00 ₽",0,"42,86 %"
1908078358.1496927642,7,00:02:20,"0,00 %","0,00 ₽",0,"14,29 %"
2028074702.1494019112,7,00:04:17,"14,29 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,7,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
272636717.1494398904,7,00:05:35,"0,00 %","0,00 ₽",0,"0,00 %"
1095686964.1494930352,6,00:03:47,"0,00 %","0,00 ₽",0,"0,00 %"
1114113715.1448572566,6,00:01:09,"16,67 %","0,00 ₽",0,"0,00 %"
1309300770.1493579097,6,00:17:06,"0,00 %","0,00 ₽",0,"33,33 %"
1423278428.1494132424,6,00:17:13,"16,67 %","0,00 ₽",0,"0,00 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
457582818.1447580535,6,00:02:30,"33,33 %","0,00 ₽",0,"0,00 %"
590633627.1495190829,6,00:08:40,"0,00 %","0,00 ₽",0,"16,67 %"
1040227868.1494441795,5,00:04:49,"0,00 %","0,00 ₽",0,"40,00 %"
1111382728.1495707801,5,00:01:51,"0,00 %","0,00 ₽",0,"20,00 %"
1206010680.1496434886,5,00:16:24,"0,00 %","0,00 ₽",0,"60,00 %"
1525287264.1491744749,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1551359613.1496828787,5,00:00:23,"20,00 %","0,00 ₽",0,"0,00 %"
1565069019.1494489976,5,00:03:13,"0,00 %","0,00 ₽",0,"20,00 %"
157091640.1491198205,5,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1813891126.1493971225,5,00:00:54,"0,00 %","0,00 ₽",0,"0,00 %"
1876890363.1480762598,5,00:05:18,"0,00 %","0,00 ₽",0,"20,00 %"
1883585191.1496735426,5,00:01:32,"0,00 %","0,00 ₽",0,"20,00 %"
2039164926.1493699986,5,00:04:54,"20,00 %","0,00 ₽",0,"0,00 %"
540148131.1495714371,5,00:00:24,"20,00 %","0,00 ₽",0,"0,00 %"
544163628.1494841501,5,00:09:09,"20,00 %","0,00 ₽",0,"0,00 %"
641712577.1496777981,5,00:03:10,"0,00 %","0,00 ₽",0,"0,00 %"
738560707.1487349967,5,00:00:03,"80,00 %","0,00 ₽",0,"0,00 %"
776955480.1494956639,5,00:04:48,"0,00 %","0,00 ₽",0,"0,00 %"
952995882.1495439088,5,00:01:11,"0,00 %","0,00 ₽",0,"0,00 %"
1074260250.1479359383,4,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
1212216582.1495440612,4,00:08:33,"0,00 %","0,00 ₽",0,"0,00 %"
1296558289.1494147667,4,00:00:17,"0,00 %","0,00 ₽",0,"0,00 %"
1325626961.1490861239,4,00:04:09,"0,00 %","0,00 ₽",0,"25,00 %"
1490149168.1494340132,4,00:00:13,"25,00 %","0,00 ₽",0,"0,00 %"
1590234047.1494276449,4,00:02:58,"0,00 %","0,00 ₽",0,"0,00 %"
1600493822.1493903512,4,00:02:55,"0,00 %","0,00 ₽",0,"0,00 %"
1669272348.1494060844,4,00:11:56,"25,00 %","0,00 ₽",0,"50,00 %"
1727413306.1470298952,4,00:07:05,"0,00 %","0,00 ₽",0,"25,00 %"
1730891204.1496145172,4,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1748221791.1494106644,4,00:04:46,"0,00 %","0,00 ₽",0,"0,00 %"
1788276127.1493716663,4,00:01:45,"25,00 %","0,00 ₽",0,"25,00 %"
1806601581.1485030392,4,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
2068944202.1489548321,4,00:00:48,"25,00 %","0,00 ₽",0,"0,00 %"
2094143960.1484238364,4,00:34:39,"0,00 %","0,00 ₽",0,"50,00 %"
2102697889.1495452580,4,00:01:30,"0,00 %","0,00 ₽",0,"25,00 %"
224837598.1495103101,4,00:07:20,"0,00 %","0,00 ₽",0,"0,00 %"
311582492.1495288888,4,00:04:28,"0,00 %","0,00 ₽",0,"0,00 %"
425667873.1481806483,4,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
472792197.1486717361,4,00:08:40,"0,00 %","0,00 ₽",0,"0,00 %"
502276749.1496162804,4,00:08:30,"25,00 %","0,00 ₽",0,"50,00 %"
511612093.1497601829,4,00:00:29,"25,00 %","0,00 ₽",0,"0,00 %"
559625167.1490786234,4,00:20:34,"0,00 %","0,00 ₽",0,"25,00 %"
598897864.1496561325,4,00:16:45,"0,00 %","0,00 ₽",0,"0,00 %"
600397207.1495444355,4,00:31:07,"0,00 %","0,00 ₽",0,"25,00 %"
747026953.1494494325,4,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
825284909.1493704879,4,00:02:02,"25,00 %","0,00 ₽",0,"0,00 %"
910929934.1495635338,4,00:05:51,"0,00 %","0,00 ₽",0,"75,00 %"
949461226.1494251369,4,00:02:14,"0,00 %","0,00 ₽",0,"0,00 %"
985482497.1494500623,4,00:02:01,"0,00 %","0,00 ₽",0,"25,00 %"
1005452330.1496847199,3,00:02:10,"0,00 %","0,00 ₽",0,"0,00 %"
1011445742.1493737087,3,00:00:05,"66,67 %","0,00 ₽",0,"0,00 %"
1027251334.1495694098,3,00:00:15,"0,00 %","0,00 ₽",0,"33,33 %"
1031469000.1494089062,3,00:01:59,"0,00 %","0,00 ₽",0,"0,00 %"
1074309089.1496482220,3,00:07:57,"0,00 %","0,00 ₽",0,"33,33 %"
1091241312.1431504928,3,00:08:59,"0,00 %","0,00 ₽",0,"33,33 %"
1115513237.1495704245,3,00:13:17,"0,00 %","0,00 ₽",0,"0,00 %"
1122773974.1493576876,3,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1143369242.1495094694,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1157332505.1496134651,3,00:26:58,"0,00 %","0,00 ₽",0,"33,33 %"
