# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1831293933.1496059556,1,00:01:05,"0,00 %","0,00 ₽",0,"100,00 %"
1831305255.1494392164,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1831609404.1496700707,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1831790275.1497380032,1,00:04:10,"0,00 %","0,00 ₽",0,"0,00 %"
1831937971.1492434502,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1832231230.1495030679,1,00:02:08,"0,00 %","0,00 ₽",0,"0,00 %"
1832808822.1494675847,1,00:03:31,"0,00 %","0,00 ₽",0,"0,00 %"
1833211565.1494428330,1,00:01:57,"0,00 %","0,00 ₽",0,"0,00 %"
1833362715.1496111893,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1833602587.1496801745,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1833645288.1495024535,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1833700512.1495460739,1,00:03:35,"0,00 %","0,00 ₽",0,"0,00 %"
1833841001.1495780056,1,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1834278748.1495641012,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
183452336.1494534675,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1834775204.1496658390,1,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
183503033.1494023866,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1835084222.1496511176,1,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
183529176.1497142260,1,00:01:42,"0,00 %","0,00 ₽",0,"0,00 %"
1835428027.1493983587,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
183563037.1496055238,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1835929582.1495611265,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1836389341.1494883007,1,00:00:51,"0,00 %","0,00 ₽",0,"0,00 %"
183642040.1496902178,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1836492565.1497243753,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1836514828.1495196641,1,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
183652687.1496615291,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1836653319.1495053086,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
183677749.1494281868,1,00:03:06,"0,00 %","0,00 ₽",0,"0,00 %"
1837044694.1495647263,1,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
1837081948.1495019249,1,00:02:05,"0,00 %","0,00 ₽",0,"0,00 %"
1837566889.1497197524,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1837597709.1494413928,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1837837788.1494037811,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1838337890.1497795690,1,00:00:04,"0,00 %","0,00 ₽",0,"0,00 %"
1838573183.1495626637,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1838616291.1497530803,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1838724878.1496139186,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
