# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
300082639.1495022742,12,00:03:50,"16,67 %","0,00 ₽",0,"0,00 %"
1703831900.1495617998,11,00:02:07,"27,27 %","0,00 ₽",0,"0,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
1908078358.1496927642,7,00:02:20,"0,00 %","0,00 ₽",0,"14,29 %"
2028074702.1494019112,7,00:04:17,"14,29 %","0,00 ₽",0,"0,00 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1944281838.1493816121,6,00:01:43,"33,33 %","0,00 ₽",0,"0,00 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
457582818.1447580535,6,00:02:30,"33,33 %","0,00 ₽",0,"0,00 %"
846240744.1494434842,6,00:01:55,"16,67 %","0,00 ₽",0,"0,00 %"
1206010680.1496434886,5,00:16:24,"0,00 %","0,00 ₽",0,"60,00 %"
1280925443.1495261797,5,00:01:27,"20,00 %","0,00 ₽",0,"0,00 %"
151401810.1495764261,5,00:00:34,"20,00 %","0,00 ₽",0,"0,00 %"
152451424.1496414219,5,00:03:49,"0,00 %","0,00 ₽",0,"0,00 %"
2140300197.1494582863,5,00:02:13,"20,00 %","0,00 ₽",0,"0,00 %"
544163628.1494841501,5,00:09:09,"20,00 %","0,00 ₽",0,"0,00 %"
730879215.1494883576,5,00:01:26,"20,00 %","0,00 ₽",0,"0,00 %"
738560707.1487349967,5,00:00:03,"80,00 %","0,00 ₽",0,"0,00 %"
1405005554.1494980771,4,00:05:43,"25,00 %","0,00 ₽",0,"0,00 %"
1436008772.1493810050,4,00:02:43,"25,00 %","0,00 ₽",0,"25,00 %"
1659259464.1496018728,4,00:05:21,"0,00 %","0,00 ₽",0,"25,00 %"
1807630632.1497526351,4,00:02:48,"25,00 %","0,00 ₽",0,"0,00 %"
1820272919.1497113337,4,00:05:21,"25,00 %","0,00 ₽",0,"0,00 %"
30904484.1494514088,4,00:13:33,"25,00 %","0,00 ₽",0,"0,00 %"
440913082.1496728756,4,00:02:45,"25,00 %","0,00 ₽",0,"0,00 %"
598897864.1496561325,4,00:16:45,"0,00 %","0,00 ₽",0,"0,00 %"
668821711.1493628469,4,00:03:32,"0,00 %","0,00 ₽",0,"25,00 %"
743071803.1494436992,4,00:01:38,"25,00 %","0,00 ₽",0,"0,00 %"
747026953.1494494325,4,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
949461226.1494251369,4,00:02:14,"0,00 %","0,00 ₽",0,"0,00 %"
976266059.1493143118,4,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1005452330.1496847199,3,00:02:10,"0,00 %","0,00 ₽",0,"0,00 %"
1014887886.1493282582,3,00:00:39,"0,00 %","0,00 ₽",0,"0,00 %"
1222963032.1495294285,3,00:00:30,"0,00 %","0,00 ₽",0,"0,00 %"
1240845081.1496648349,3,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1253058671.1496504871,3,00:02:13,"33,33 %","0,00 ₽",0,"0,00 %"
1322616589.1493894900,3,00:25:52,"0,00 %","0,00 ₽",0,"33,33 %"
1337615252.1495032508,3,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
1368420550.1493847719,3,00:01:56,"0,00 %","0,00 ₽",0,"0,00 %"
1424324171.1495033482,3,00:00:40,"0,00 %","0,00 ₽",0,"33,33 %"
1451646570.1495101911,3,00:12:56,"0,00 %","0,00 ₽",0,"66,67 %"
1498345887.1495657593,3,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1587280356.1496907088,3,00:12:50,"0,00 %","0,00 ₽",0,"0,00 %"
1608018894.1495701371,3,00:02:35,"33,33 %","0,00 ₽",0,"66,67 %"
1645813042.1496054076,3,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
1676509062.1493880301,3,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
173023373.1493638088,3,00:02:24,"0,00 %","0,00 ₽",0,"0,00 %"
1769578803.1489925630,3,00:10:08,"0,00 %","0,00 ₽",0,"0,00 %"
1838262125.1497185727,3,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1864663790.1494993045,3,00:00:33,"33,33 %","0,00 ₽",0,"0,00 %"
1884865577.1491886938,3,00:00:13,"33,33 %","0,00 ₽",0,"0,00 %"
1950666159.1497105750,3,00:02:11,"33,33 %","0,00 ₽",0,"0,00 %"
196848670.1494948520,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1973309605.1493242397,3,00:04:48,"33,33 %","0,00 ₽",0,"0,00 %"
1984287289.1495210758,3,00:02:02,"0,00 %","0,00 ₽",0,"33,33 %"
2034125994.1495177953,3,00:00:05,"33,33 %","0,00 ₽",0,"0,00 %"
2037279398.1497442990,3,00:00:00,"66,67 %","0,00 ₽",0,"0,00 %"
2042132795.1494835678,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
20453442.1494989427,3,00:00:37,"33,33 %","0,00 ₽",0,"0,00 %"
213984198.1496581509,3,00:02:12,"0,00 %","0,00 ₽",0,"0,00 %"
275173255.1494498010,3,00:01:18,"0,00 %","0,00 ₽",0,"33,33 %"
295188477.1493108609,3,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
346171243.1496871039,3,00:04:53,"33,33 %","0,00 ₽",0,"0,00 %"
413878545.1494080623,3,00:00:08,"66,67 %","0,00 ₽",0,"0,00 %"
447375339.1493787668,3,00:00:18,"33,33 %","0,00 ₽",0,"0,00 %"
464596965.1496261616,3,00:00:10,"33,33 %","0,00 ₽",0,"0,00 %"
523745289.1495225030,3,00:03:46,"0,00 %","0,00 ₽",0,"0,00 %"
524076773.1495868831,3,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
617853102.1497260147,3,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
623115922.1496181913,3,00:04:04,"0,00 %","0,00 ₽",0,"66,67 %"
625949077.1496656229,3,00:01:12,"33,33 %","0,00 ₽",0,"66,67 %"
665869592.1497120501,3,< 00:00:01,"0,00 %","0,00 ₽",0,"0,00 %"
7714911.1497192510,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
811589250.1497478451,3,00:02:18,"0,00 %","0,00 ₽",0,"0,00 %"
833636921.1494362533,3,00:14:17,"33,33 %","0,00 ₽",0,"0,00 %"
919267609.1493902021,3,00:13:14,"33,33 %","0,00 ₽",0,"33,33 %"
942703958.1496331715,3,00:05:31,"33,33 %","0,00 ₽",0,"0,00 %"
96649328.1496769526,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1006497878.1495701156,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1007362804.1493939929,2,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
1012041522.1494864323,2,00:04:32,"0,00 %","0,00 ₽",0,"0,00 %"
1017040158.1494994845,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1025033871.1480186370,2,00:13:19,"0,00 %","0,00 ₽",0,"0,00 %"
1025174083.1496741900,2,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
1036551979.1494534146,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
