# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1206010680.1496434886,2,00:35:42,"0,00 %","0,00 ₽",0,"100,00 %"
1583193779.1493758440,2,00:01:48,"0,00 %","0,00 ₽",0,"50,00 %"
1590234047.1494276449,2,00:05:40,"0,00 %","0,00 ₽",0,"0,00 %"
2113733418.1496609833,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
235534940.1496696403,2,00:01:45,"0,00 %","0,00 ₽",0,"0,00 %"
42012855.1494881788,2,00:04:43,"0,00 %","0,00 ₽",0,"0,00 %"
478161178.1493931312,2,00:13:08,"0,00 %","0,00 ₽",0,"50,00 %"
905705610.1494968353,2,00:02:18,"0,00 %","0,00 ₽",0,"0,00 %"
5ccd30cf-209d-4509-9fb2-4453b0c0397f,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
ad6c7d47-5017-48c3-ac42-937a6118b1ec,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
6c16ae65-83e5-41a1-9116-74dbe85ab419,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
28eda25d-e7f5-42f9-9d8e-00ef5c046059,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
632630a2-782e-44ad-8ceb-ec1ddcf9b995,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
bfe2f508-d5cc-40bf-81a0-9fd50f5d6e1f,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
7dbb3825-f036-449e-b27d-c4318dee9d67,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
e5bafc47-3d7d-456b-8c28-e1b7fe5d6596,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
4eae25b1-6974-49c2-bd4f-165abcea0d48,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
9823a2fb-dc8a-4dc8-acbe-05e056887731,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
c8310367-f717-4e55-a9ca-e58d1234a731,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
804e2940-afe7-4161-b0d9-be0bca9212fd,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
