# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
881598142.1496774880,8,00:02:43,"25,00 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,7,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
500727041.1482239926,7,00:00:51,"28,57 %","0,00 ₽",0,"14,29 %"
1706832400.1494579062,6,00:14:12,"0,00 %","0,00 ₽",0,"0,00 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
457582818.1447580535,6,00:02:30,"33,33 %","0,00 ₽",0,"0,00 %"
488915412.1494402613,6,00:04:00,"0,00 %","0,00 ₽",0,"16,67 %"
590633627.1495190829,6,00:08:40,"0,00 %","0,00 ₽",0,"16,67 %"
846240744.1494434842,6,00:01:55,"16,67 %","0,00 ₽",0,"0,00 %"
1040227868.1494441795,5,00:04:49,"0,00 %","0,00 ₽",0,"40,00 %"
1565069019.1494489976,5,00:03:13,"0,00 %","0,00 ₽",0,"20,00 %"
1743038736.1495133679,5,00:13:43,"0,00 %","0,00 ₽",0,"0,00 %"
1754633381.1491743906,5,00:03:49,"20,00 %","0,00 ₽",0,"0,00 %"
214922910.1495096141,5,00:15:08,"0,00 %","0,00 ₽",0,"20,00 %"
540148131.1495714371,5,00:00:24,"20,00 %","0,00 ₽",0,"0,00 %"
1074260250.1479359383,4,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
1212216582.1495440612,4,00:08:33,"0,00 %","0,00 ₽",0,"0,00 %"
122979330.1495694904,4,00:00:12,"50,00 %","0,00 ₽",0,"0,00 %"
1484413294.1495019219,4,00:02:59,"25,00 %","0,00 ₽",0,"0,00 %"
1727413306.1470298952,4,00:07:05,"0,00 %","0,00 ₽",0,"25,00 %"
1730891204.1496145172,4,00:00:19,"50,00 %","0,00 ₽",0,"0,00 %"
1788276127.1493716663,4,00:01:45,"25,00 %","0,00 ₽",0,"25,00 %"
425667873.1481806483,4,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
472792197.1486717361,4,00:08:40,"0,00 %","0,00 ₽",0,"0,00 %"
825284909.1493704879,4,00:02:02,"25,00 %","0,00 ₽",0,"0,00 %"
985482497.1494500623,4,00:02:01,"0,00 %","0,00 ₽",0,"25,00 %"
1021517048.1496841113,3,00:00:06,"33,33 %","0,00 ₽",0,"0,00 %"
1027251334.1495694098,3,00:00:15,"0,00 %","0,00 ₽",0,"33,33 %"
1115513237.1495704245,3,00:13:17,"0,00 %","0,00 ₽",0,"0,00 %"
1143369242.1495094694,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1325601950.1495525772,3,00:00:05,"66,67 %","0,00 ₽",0,"0,00 %"
1336241920.1494581872,3,00:05:51,"0,00 %","0,00 ₽",0,"33,33 %"
1381299327.1493787404,3,00:09:29,"33,33 %","0,00 ₽",0,"33,33 %"
1424324171.1495033482,3,00:00:40,"0,00 %","0,00 ₽",0,"33,33 %"
1548022470.1496659827,3,00:00:29,"0,00 %","0,00 ₽",0,"0,00 %"
1575784480.1495380665,3,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1586525690.1494521254,3,00:01:31,"0,00 %","0,00 ₽",0,"0,00 %"
1608018894.1495701371,3,00:02:35,"33,33 %","0,00 ₽",0,"66,67 %"
166010917.1496154783,3,00:03:06,"0,00 %","0,00 ₽",0,"66,67 %"
1686373675.1495452608,3,00:00:39,"0,00 %","0,00 ₽",0,"33,33 %"
1700151548.1492709135,3,00:00:09,"33,33 %","0,00 ₽",0,"0,00 %"
1775064174.1494436441,3,00:00:44,"33,33 %","0,00 ₽",0,"33,33 %"
1775921243.1494592940,3,00:08:17,"0,00 %","0,00 ₽",0,"0,00 %"
1980624808.1492437782,3,00:06:04,"0,00 %","0,00 ₽",0,"33,33 %"
19813319.1494413875,3,00:01:18,"33,33 %","0,00 ₽",0,"0,00 %"
20453442.1494989427,3,00:00:37,"33,33 %","0,00 ₽",0,"0,00 %"
205364319.1494846966,3,00:05:34,"0,00 %","0,00 ₽",0,"0,00 %"
228437455.1494342848,3,00:14:02,"0,00 %","0,00 ₽",0,"0,00 %"
238123353.1495809466,3,00:01:32,"0,00 %","0,00 ₽",0,"0,00 %"
252973593.1490797800,3,00:00:32,"0,00 %","0,00 ₽",0,"0,00 %"
264917388.1494417158,3,00:00:24,"0,00 %","0,00 ₽",0,"33,33 %"
638775892.1491921516,3,00:14:39,"0,00 %","0,00 ₽",0,"0,00 %"
72656988.1495645800,3,00:00:11,"33,33 %","0,00 ₽",0,"33,33 %"
74888588.1494675783,3,00:01:43,"0,00 %","0,00 ₽",0,"0,00 %"
80698041.1495461253,3,00:00:36,"0,00 %","0,00 ₽",0,"0,00 %"
1006497878.1495701156,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1012583116.1460518242,2,00:01:38,"50,00 %","0,00 ₽",0,"0,00 %"
101896661.1495104743,2,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1036551979.1494534146,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
1048131025.1493727128,2,00:01:01,"0,00 %","0,00 ₽",0,"0,00 %"
1052614286.1475135728,2,00:00:30,"0,00 %","0,00 ₽",0,"50,00 %"
1084408706.1494603676,2,00:01:59,"0,00 %","0,00 ₽",0,"50,00 %"
1102831882.1495378588,2,00:02:14,"0,00 %","0,00 ₽",0,"0,00 %"
1105300093.1495535793,2,00:00:51,"0,00 %","0,00 ₽",0,"0,00 %"
1108390442.1495378106,2,00:10:47,"0,00 %","0,00 ₽",0,"0,00 %"
1118768377.1495198573,2,00:06:30,"0,00 %","0,00 ₽",0,"0,00 %"
1122943219.1493749938,2,00:02:16,"0,00 %","0,00 ₽",0,"0,00 %"
1135589851.1494568824,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1147998288.1496149758,2,00:00:06,"0,00 %","0,00 ₽",0,"50,00 %"
1186857784.1494409430,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1200916109.1493708854,2,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1240113070.1495719589,2,00:02:51,"0,00 %","0,00 ₽",0,"50,00 %"
1245676946.1496159972,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1255217062.1493765386,2,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
1266382906.1489762938,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1313435235.1495466142,2,00:01:03,"0,00 %","0,00 ₽",0,"50,00 %"
1350913434.1496845451,2,00:01:15,"0,00 %","0,00 ₽",0,"0,00 %"
1352250313.1495117653,2,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
