# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1725135215.1490431795,69,00:01:20,"1,45 %","0,00 ₽",0,"0,00 %"
644776177.1494839662,66,00:03:22,"0,00 %","0,00 ₽",0,"1,52 %"
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
893564022.1488460484,22,00:10:49,"4,55 %","0,00 ₽",0,"31,82 %"
2034380489.1496060696,11,00:15:50,"0,00 %","0,00 ₽",0,"0,00 %"
1626501736.1454581767,10,00:08:47,"10,00 %","0,00 ₽",0,"30,00 %"
628234179.1477574037,10,00:14:12,"0,00 %","0,00 ₽",0,"10,00 %"
1152120869.1495113669,9,00:06:14,"0,00 %","0,00 ₽",0,"33,33 %"
1998945113.1494394914,9,00:08:02,"0,00 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,7,00:06:40,"0,00 %","0,00 ₽",0,"0,00 %"
500727041.1482239926,7,00:00:51,"28,57 %","0,00 ₽",0,"14,29 %"
1309300770.1493579097,6,00:17:06,"0,00 %","0,00 ₽",0,"33,33 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1944281838.1493816121,6,00:01:43,"33,33 %","0,00 ₽",0,"0,00 %"
590633627.1495190829,6,00:08:40,"0,00 %","0,00 ₽",0,"16,67 %"
1754633381.1491743906,5,00:03:49,"20,00 %","0,00 ₽",0,"0,00 %"
1799002031.1494570283,5,00:07:10,"0,00 %","0,00 ₽",0,"0,00 %"
1133409016.1495451123,4,00:00:11,"25,00 %","0,00 ₽",0,"0,00 %"
1427725160.1490347673,4,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1820272919.1497113337,4,00:05:21,"25,00 %","0,00 ₽",0,"0,00 %"
27206879.1493730923,4,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
511612093.1497601829,4,00:00:29,"25,00 %","0,00 ₽",0,"0,00 %"
910929934.1495635338,4,00:05:51,"0,00 %","0,00 ₽",0,"75,00 %"
1066278109.1495030506,3,00:16:21,"0,00 %","0,00 ₽",0,"33,33 %"
1093369955.1492506825,3,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1143369242.1495094694,3,00:00:16,"33,33 %","0,00 ₽",0,"0,00 %"
1220641848.1496825649,3,00:05:02,"0,00 %","0,00 ₽",0,"33,33 %"
1855164123.1455716019,3,00:05:21,"0,00 %","0,00 ₽",0,"0,00 %"
2019333702.1477212936,3,00:14:07,"0,00 %","0,00 ₽",0,"33,33 %"
20453442.1494989427,3,00:00:37,"33,33 %","0,00 ₽",0,"0,00 %"
312912666.1494845441,3,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
38946720.1495413266,3,00:02:44,"0,00 %","0,00 ₽",0,"0,00 %"
523745289.1495225030,3,00:03:46,"0,00 %","0,00 ₽",0,"0,00 %"
59608812.1493720245,3,00:06:00,"33,33 %","0,00 ₽",0,"33,33 %"
625949077.1496656229,3,00:01:12,"33,33 %","0,00 ₽",0,"66,67 %"
74888588.1494675783,3,00:01:43,"0,00 %","0,00 ₽",0,"0,00 %"
1027102771.1473257774,2,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1041088844.1495781579,2,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1057717248.1496512961,2,00:04:14,"0,00 %","0,00 ₽",0,"100,00 %"
1114307729.1494839618,2,00:03:54,"0,00 %","0,00 ₽",0,"0,00 %"
1141272750.1493891089,2,00:01:32,"0,00 %","0,00 ₽",0,"50,00 %"
1225095512.1497508532,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1239991701.1491285902,2,00:01:39,"0,00 %","0,00 ₽",0,"100,00 %"
1249253258.1495018972,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
12760720.1496651815,2,00:00:57,"50,00 %","0,00 ₽",0,"0,00 %"
128894888.1494736752,2,00:02:17,"0,00 %","0,00 ₽",0,"0,00 %"
1305645360.1496831445,2,00:01:39,"0,00 %","0,00 ₽",0,"0,00 %"
1429885030.1495748721,2,00:02:03,"0,00 %","0,00 ₽",0,"50,00 %"
1446364487.1496753463,2,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1479419564.1495027193,2,00:01:37,"50,00 %","0,00 ₽",0,"0,00 %"
1547396545.1496214534,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1574450590.1497444379,2,00:00:44,"50,00 %","0,00 ₽",0,"0,00 %"
1590583621.1492450102,2,00:02:19,"50,00 %","0,00 ₽",0,"0,00 %"
1591754406.1496058202,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1592481162.1494574856,2,00:01:52,"0,00 %","0,00 ₽",0,"0,00 %"
1602631526.1495094341,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
165470850.1496339817,2,00:01:18,"0,00 %","0,00 ₽",0,"0,00 %"
1667311194.1490773654,2,00:02:50,"0,00 %","0,00 ₽",0,"0,00 %"
1669098027.1492970351,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1677791824.1495983212,2,00:03:48,"0,00 %","0,00 ₽",0,"100,00 %"
1710901406.1494284057,2,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1718692472.1494583365,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1775587205.1496849812,2,00:01:26,"50,00 %","0,00 ₽",0,"50,00 %"
1785706981.1497788794,2,00:01:26,"0,00 %","0,00 ₽",0,"50,00 %"
1815303513.1495910890,2,00:10:37,"50,00 %","0,00 ₽",0,"0,00 %"
1842813712.1496650194,2,00:04:27,"0,00 %","0,00 ₽",0,"0,00 %"
1859503599.1494321411,2,00:00:51,"0,00 %","0,00 ₽",0,"0,00 %"
1901853105.1496339185,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1921469651.1496304116,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1956563224.1496847005,2,00:01:18,"0,00 %","0,00 ₽",0,"100,00 %"
1988940189.1493802273,2,00:01:30,"0,00 %","0,00 ₽",0,"0,00 %"
2004566493.1496383147,2,00:05:05,"0,00 %","0,00 ₽",0,"50,00 %"
2067469576.1493711489,2,00:23:53,"0,00 %","0,00 ₽",0,"100,00 %"
2082278265.1494946678,2,00:00:59,"0,00 %","0,00 ₽",0,"50,00 %"
209495195.1482343534,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
2104204086.1494991146,2,00:02:20,"0,00 %","0,00 ₽",0,"0,00 %"
2145265418.1492594442,2,00:04:05,"0,00 %","0,00 ₽",0,"50,00 %"
2147070733.1492259323,2,00:04:11,"0,00 %","0,00 ₽",0,"50,00 %"
219486012.1446705463,2,00:07:20,"0,00 %","0,00 ₽",0,"0,00 %"
250479913.1495135921,2,00:00:30,"0,00 %","0,00 ₽",0,"0,00 %"
2573527.1495874694,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
285886629.1495698682,2,00:00:58,"0,00 %","0,00 ₽",0,"50,00 %"
309048231.1496302459,2,00:04:09,"0,00 %","0,00 ₽",0,"50,00 %"
371942019.1474290607,2,00:02:10,"0,00 %","0,00 ₽",0,"0,00 %"
392434517.1496758455,2,00:00:17,"0,00 %","0,00 ₽",0,"0,00 %"
447392566.1496217235,2,00:01:27,"0,00 %","0,00 ₽",0,"0,00 %"
458714245.1495702783,2,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
512944058.1495805925,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
513238943.1496673053,2,00:03:53,"0,00 %","0,00 ₽",0,"0,00 %"
523779839.1496564962,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
536658553.1495030466,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
553395944.1480304562,2,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
571270011.1494345824,2,00:02:38,"0,00 %","0,00 ₽",0,"0,00 %"
613808072.1496229623,2,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
619574710.1496393653,2,00:18:54,"0,00 %","0,00 ₽",0,"50,00 %"
69691807.1486401669,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
806885473.1493640597,2,00:01:04,"0,00 %","0,00 ₽",0,"0,00 %"
817351965.1494442544,2,00:09:17,"0,00 %","0,00 ₽",0,"0,00 %"
834551489.1494395834,2,00:15:49,"0,00 %","0,00 ₽",0,"0,00 %"
83533960.1494934506,2,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
883540416.1493522460,2,00:01:05,"0,00 %","0,00 ₽",0,"0,00 %"
897290911.1496752447,2,00:01:20,"0,00 %","0,00 ₽",0,"0,00 %"
90077574.1495778123,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
917497384.1494644732,2,00:00:50,"50,00 %","0,00 ₽",0,"0,00 %"
948410574.1494945591,2,00:03:03,"50,00 %","0,00 ₽",0,"50,00 %"
951708740.1496641497,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
6c16ae65-83e5-41a1-9116-74dbe85ab419,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
5ccd30cf-209d-4509-9fb2-4453b0c0397f,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
9823a2fb-dc8a-4dc8-acbe-05e056887731,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
02b0c08e-5cf5-4bb8-ba54-16fc93804c47,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1002836777.1495128655,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1004220535.1495264122,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1004759694.1494306005,1,00:02:58,"0,00 %","0,00 ₽",0,"0,00 %"
1015681881.1495271970,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1016751528.1495041027,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
103162762.1496190750,1,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
1039224975.1495513818,1,00:00:10,"0,00 %","0,00 ₽",0,"0,00 %"
1039594659.1495469088,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1041300428.1493805018,1,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
1051996600.1494573505,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1054409451.1492867003,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1064244459.1496997907,1,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1071111455.1494201579,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
