# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1725135215.1490431795,69,00:01:20,"1,45 %","0,00 ₽",0,"0,00 %"
644776177.1494839662,65,00:02:51,"0,00 %","0,00 ₽",0,"0,00 %"
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
1593228938.1453274313,37,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
123127958.1405404858,24,00:04:27,"0,00 %","0,00 ₽",0,"41,67 %"
893564022.1488460484,22,00:10:49,"4,55 %","0,00 ₽",0,"31,82 %"
15309904.1492135010,18,00:02:36,"5,56 %","0,00 ₽",0,"0,00 %"
2047847416.1494733684,18,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1815749973.1493318472,16,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
287223981.1495517399,16,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
749987037.1463484414,16,00:01:10,"0,00 %","0,00 ₽",0,"0,00 %"
1621755658.1492068420,15,00:00:10,"6,67 %","0,00 ₽",0,"0,00 %"
2009549466.1447738445,15,00:03:50,"0,00 %","0,00 ₽",0,"13,33 %"
451122464.1496947286,14,00:00:32,"0,00 %","0,00 ₽",0,"0,00 %"
1842201820.1495636128,11,00:07:22,"0,00 %","0,00 ₽",0,"36,36 %"
300082639.1495022742,11,00:04:02,"18,18 %","0,00 ₽",0,"0,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
1626501736.1454581767,10,00:08:47,"10,00 %","0,00 ₽",0,"30,00 %"
1692045541.1495383540,10,00:00:12,"40,00 %","0,00 ₽",0,"0,00 %"
1703831900.1495617998,10,00:02:19,"30,00 %","0,00 ₽",0,"0,00 %"
19544911.1495719116,10,00:00:44,"0,00 %","0,00 ₽",0,"0,00 %"
2034380489.1496060696,10,00:16:08,"0,00 %","0,00 ₽",0,"0,00 %"
628234179.1477574037,10,00:14:12,"0,00 %","0,00 ₽",0,"10,00 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
1182187327.1494593570,9,00:02:37,"0,00 %","0,00 ₽",0,"11,11 %"
1152120869.1495113669,8,00:06:49,"0,00 %","0,00 ₽",0,"37,50 %"
1876184893.1494846385,8,00:03:46,"0,00 %","0,00 ₽",0,"0,00 %"
1888447593.1491152077,8,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
1998945113.1494394914,8,00:09:02,"0,00 %","0,00 ₽",0,"0,00 %"
331274961.1496838014,8,00:16:07,"62,50 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
820914681.1491912753,8,00:07:06,"0,00 %","0,00 ₽",0,"0,00 %"
1298223537.1495173242,7,00:00:09,"57,14 %","0,00 ₽",0,"0,00 %"
1629760989.1492449116,7,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
2063265166.1494833645,7,00:00:24,"0,00 %","0,00 ₽",0,"0,00 %"
492702196.1496807877,7,00:01:45,"0,00 %","0,00 ₽",0,"0,00 %"
500727041.1482239926,7,00:00:51,"28,57 %","0,00 ₽",0,"14,29 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
881598142.1496774880,7,00:03:06,"14,29 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,6,00:01:10,"16,67 %","0,00 ₽",0,"0,00 %"
1114113715.1448572566,6,00:01:09,"16,67 %","0,00 ₽",0,"0,00 %"
1126419872.1495007574,6,00:00:16,"0,00 %","0,00 ₽",0,"16,67 %"
1290736410.1496136804,6,00:05:02,"0,00 %","0,00 ₽",0,"33,33 %"
1309300770.1493579097,6,00:17:06,"0,00 %","0,00 ₽",0,"33,33 %"
1344276843.1466760045,6,00:14:09,"16,67 %","0,00 ₽",0,"0,00 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
1908078358.1496927642,6,00:01:21,"0,00 %","0,00 ₽",0,"16,67 %"
2028074702.1494019112,6,00:04:38,"16,67 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,6,00:07:44,"0,00 %","0,00 ₽",0,"0,00 %"
272636717.1494398904,6,00:04:13,"0,00 %","0,00 ₽",0,"0,00 %"
492023972.1468910356,6,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
831846519.1486547284,6,00:02:20,"0,00 %","0,00 ₽",0,"0,00 %"
1095686964.1494930352,5,00:01:23,"0,00 %","0,00 ₽",0,"0,00 %"
1130449215.1491424941,5,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1423278428.1494132424,5,00:16:46,"20,00 %","0,00 ₽",0,"0,00 %"
1457573879.1495026324,5,00:00:39,"40,00 %","0,00 ₽",0,"0,00 %"
1525287264.1491744749,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1562168996.1495100250,5,00:05:46,"0,00 %","0,00 ₽",0,"40,00 %"
157091640.1491198205,5,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1594532085.1492097729,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1706832400.1494579062,5,00:00:34,"0,00 %","0,00 ₽",0,"0,00 %"
1754633381.1491743906,5,00:03:49,"20,00 %","0,00 ₽",0,"0,00 %"
1876890363.1480762598,5,00:05:18,"0,00 %","0,00 ₽",0,"20,00 %"
1944281838.1493816121,5,00:01:26,"40,00 %","0,00 ₽",0,"0,00 %"
2119475127.1497000068,5,00:08:13,"0,00 %","0,00 ₽",0,"40,00 %"
2124922954.1495700601,5,00:04:36,"0,00 %","0,00 ₽",0,"0,00 %"
457582818.1447580535,5,00:02:52,"40,00 %","0,00 ₽",0,"0,00 %"
488915412.1494402613,5,00:04:43,"0,00 %","0,00 ₽",0,"20,00 %"
590633627.1495190829,5,00:10:14,"0,00 %","0,00 ₽",0,"20,00 %"
70317164.1492452818,5,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
726675663.1494859186,5,00:00:58,"0,00 %","0,00 ₽",0,"20,00 %"
738560707.1487349967,5,00:00:03,"80,00 %","0,00 ₽",0,"0,00 %"
846240744.1494434842,5,00:01:53,"20,00 %","0,00 ₽",0,"0,00 %"
903017469.1493902974,5,00:02:51,"0,00 %","0,00 ₽",0,"0,00 %"
996212336.1496037487,5,00:01:57,"0,00 %","0,00 ₽",0,"0,00 %"
1040227868.1494441795,4,00:05:44,"0,00 %","0,00 ₽",0,"50,00 %"
1074260250.1479359383,4,00:00:10,"50,00 %","0,00 ₽",0,"0,00 %"
1086049624.1494833969,4,00:02:55,"25,00 %","0,00 ₽",0,"0,00 %"
1111382728.1495707801,4,00:01:20,"0,00 %","0,00 ₽",0,"0,00 %"
1111630917.1422029801,4,00:05:20,"0,00 %","0,00 ₽",0,"0,00 %"
1235729460.1488211407,4,00:01:25,"0,00 %","0,00 ₽",0,"0,00 %"
1267302495.1493810764,4,00:03:53,"25,00 %","0,00 ₽",0,"0,00 %"
1280925443.1495261797,4,00:00:12,"25,00 %","0,00 ₽",0,"0,00 %"
1325626961.1490861239,4,00:04:09,"0,00 %","0,00 ₽",0,"25,00 %"
151401810.1495764261,4,00:00:38,"25,00 %","0,00 ₽",0,"0,00 %"
152451424.1496414219,4,00:03:56,"0,00 %","0,00 ₽",0,"0,00 %"
1551359613.1496828787,4,00:00:20,"25,00 %","0,00 ₽",0,"0,00 %"
1565069019.1494489976,4,00:03:54,"0,00 %","0,00 ₽",0,"25,00 %"
1727413306.1470298952,4,00:07:05,"0,00 %","0,00 ₽",0,"25,00 %"
1743038736.1495133679,4,00:08:55,"0,00 %","0,00 ₽",0,"0,00 %"
1799002031.1494570283,4,00:08:54,"0,00 %","0,00 ₽",0,"0,00 %"
1806601581.1485030392,4,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1813891126.1493971225,4,00:00:44,"0,00 %","0,00 ₽",0,"0,00 %"
1878891837.1493010928,4,00:01:54,"25,00 %","0,00 ₽",0,"25,00 %"
1883585191.1496735426,4,00:01:51,"0,00 %","0,00 ₽",0,"25,00 %"
201309344.1479737181,4,00:01:09,"0,00 %","0,00 ₽",0,"0,00 %"
2039164926.1493699986,4,00:00:11,"25,00 %","0,00 ₽",0,"0,00 %"
2068944202.1489548321,4,00:00:48,"25,00 %","0,00 ₽",0,"0,00 %"
2094143960.1484238364,4,00:34:39,"0,00 %","0,00 ₽",0,"50,00 %"
2140300197.1494582863,4,00:00:33,"25,00 %","0,00 ₽",0,"0,00 %"
214922910.1495096141,4,00:18:51,"0,00 %","0,00 ₽",0,"25,00 %"
33757948.1494860165,4,00:04:05,"0,00 %","0,00 ₽",0,"0,00 %"
425667873.1481806483,4,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
472792197.1486717361,4,00:08:40,"0,00 %","0,00 ₽",0,"0,00 %"
521832553.1495199649,4,00:01:37,"25,00 %","0,00 ₽",0,"0,00 %"
540148131.1495714371,4,00:00:31,"0,00 %","0,00 ₽",0,"0,00 %"
544163628.1494841501,4,00:11:23,"25,00 %","0,00 ₽",0,"0,00 %"
559625167.1490786234,4,00:20:34,"0,00 %","0,00 ₽",0,"25,00 %"
641712577.1496777981,4,00:03:54,"0,00 %","0,00 ₽",0,"0,00 %"
703582560.1494521902,4,00:02:40,"0,00 %","0,00 ₽",0,"0,00 %"
719856645.1492617390,4,00:00:09,"25,00 %","0,00 ₽",0,"0,00 %"
730879215.1494883576,4,00:01:12,"25,00 %","0,00 ₽",0,"0,00 %"
776955480.1494956639,4,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
924692635.1478335233,4,00:02:16,"0,00 %","0,00 ₽",0,"25,00 %"
94747210.1494511115,4,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
952995882.1495439088,4,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
