# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1471564974.1442561770,47,00:09:08,"0,00 %","0,00 ₽",0,"17,02 %"
686846718.1389592307,47,00:04:12,"0,00 %","0,00 ₽",0,"2,13 %"
2047847416.1494733684,19,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
15309904.1492135010,18,00:02:36,"5,56 %","0,00 ₽",0,"0,00 %"
287223981.1495517399,17,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
1815749973.1493318472,16,00:02:09,"0,00 %","0,00 ₽",0,"0,00 %"
2009549466.1447738445,15,00:03:50,"0,00 %","0,00 ₽",0,"13,33 %"
1725135215.1490431795,14,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1842201820.1495636128,12,00:07:12,"0,00 %","0,00 ₽",0,"41,67 %"
300082639.1495022742,12,00:03:50,"16,67 %","0,00 ₽",0,"0,00 %"
1692045541.1495383540,11,00:00:11,"45,45 %","0,00 ₽",0,"0,00 %"
1703831900.1495617998,11,00:02:07,"27,27 %","0,00 ₽",0,"0,00 %"
893564022.1488460484,11,00:13:13,"9,09 %","0,00 ₽",0,"27,27 %"
1182187327.1494593570,10,00:02:23,"0,00 %","0,00 ₽",0,"10,00 %"
1183454757.1493100335,10,00:01:22,"0,00 %","0,00 ₽",0,"0,00 %"
2034380489.1496060696,10,00:17:24,"0,00 %","0,00 ₽",0,"0,00 %"
813153526.1490011696,10,00:03:34,"0,00 %","0,00 ₽",0,"0,00 %"
1876184893.1494846385,9,00:03:23,"0,00 %","0,00 ₽",0,"0,00 %"
1888447593.1491152077,8,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
2063265166.1494833645,8,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
492702196.1496807877,8,00:01:34,"0,00 %","0,00 ₽",0,"0,00 %"
686372163.1488612505,8,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
820914681.1491912753,8,00:07:06,"0,00 %","0,00 ₽",0,"0,00 %"
881598142.1496774880,8,00:02:43,"25,00 %","0,00 ₽",0,"0,00 %"
1020846111.1495526528,7,00:01:02,"14,29 %","0,00 ₽",0,"0,00 %"
1629760989.1492449116,7,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1908078358.1496927642,7,00:02:20,"0,00 %","0,00 ₽",0,"14,29 %"
1998945113.1494394914,7,00:05:29,"0,00 %","0,00 ₽",0,"0,00 %"
2028074702.1494019112,7,00:04:17,"14,29 %","0,00 ₽",0,"0,00 %"
272636717.1494398904,7,00:05:35,"0,00 %","0,00 ₽",0,"0,00 %"
565037210.1480305277,7,00:02:27,"0,00 %","0,00 ₽",0,"0,00 %"
1126419872.1495007574,6,00:00:16,"0,00 %","0,00 ₽",0,"16,67 %"
1344276843.1466760045,6,00:14:09,"16,67 %","0,00 ₽",0,"0,00 %"
1423278428.1494132424,6,00:17:13,"16,67 %","0,00 ₽",0,"0,00 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
