# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
644776177.1494839662,66,00:03:22,"0,00 %","0,00 ₽",0,"1,52 %"
686846718.1389592307,51,00:04:19,"1,96 %","0,00 ₽",0,"1,96 %"
1471564974.1442561770,48,00:08:57,"2,08 %","0,00 ₽",0,"16,67 %"
123127958.1405404858,24,00:04:27,"0,00 %","0,00 ₽",0,"41,67 %"
893564022.1488460484,22,00:10:49,"4,55 %","0,00 ₽",0,"31,82 %"
2009549466.1447738445,15,00:03:50,"0,00 %","0,00 ₽",0,"13,33 %"
1842201820.1495636128,12,00:07:12,"0,00 %","0,00 ₽",0,"41,67 %"
1182187327.1494593570,10,00:02:23,"0,00 %","0,00 ₽",0,"10,00 %"
1626501736.1454581767,10,00:08:47,"10,00 %","0,00 ₽",0,"30,00 %"
628234179.1477574037,10,00:14:12,"0,00 %","0,00 ₽",0,"10,00 %"
1152120869.1495113669,9,00:06:14,"0,00 %","0,00 ₽",0,"33,33 %"
1126419872.1495007574,7,00:00:15,"0,00 %","0,00 ₽",0,"14,29 %"
1290736410.1496136804,7,00:04:57,"0,00 %","0,00 ₽",0,"42,86 %"
1908078358.1496927642,7,00:02:20,"0,00 %","0,00 ₽",0,"14,29 %"
500727041.1482239926,7,00:00:51,"28,57 %","0,00 ₽",0,"14,29 %"
1309300770.1493579097,6,00:17:06,"0,00 %","0,00 ₽",0,"33,33 %"
1562168996.1495100250,6,00:04:48,"0,00 %","0,00 ₽",0,"33,33 %"
1616125979.1457018089,6,00:06:58,"16,67 %","0,00 ₽",0,"16,67 %"
2119475127.1497000068,6,00:07:38,"0,00 %","0,00 ₽",0,"33,33 %"
488915412.1494402613,6,00:04:00,"0,00 %","0,00 ₽",0,"16,67 %"
590633627.1495190829,6,00:08:40,"0,00 %","0,00 ₽",0,"16,67 %"
726675663.1494859186,6,00:00:55,"0,00 %","0,00 ₽",0,"16,67 %"
1040227868.1494441795,5,00:04:49,"0,00 %","0,00 ₽",0,"40,00 %"
1111382728.1495707801,5,00:01:51,"0,00 %","0,00 ₽",0,"20,00 %"
1206010680.1496434886,5,00:16:24,"0,00 %","0,00 ₽",0,"60,00 %"
1565069019.1494489976,5,00:03:13,"0,00 %","0,00 ₽",0,"20,00 %"
1876890363.1480762598,5,00:05:18,"0,00 %","0,00 ₽",0,"20,00 %"
1883585191.1496735426,5,00:01:32,"0,00 %","0,00 ₽",0,"20,00 %"
214922910.1495096141,5,00:15:08,"0,00 %","0,00 ₽",0,"20,00 %"
1325626961.1490861239,4,00:04:09,"0,00 %","0,00 ₽",0,"25,00 %"
1436008772.1493810050,4,00:02:43,"25,00 %","0,00 ₽",0,"25,00 %"
1520801131.1496840307,4,00:06:04,"0,00 %","0,00 ₽",0,"50,00 %"
1659259464.1496018728,4,00:05:21,"0,00 %","0,00 ₽",0,"25,00 %"
1669272348.1494060844,4,00:11:56,"25,00 %","0,00 ₽",0,"50,00 %"
1727413306.1470298952,4,00:07:05,"0,00 %","0,00 ₽",0,"25,00 %"
1788276127.1493716663,4,00:01:45,"25,00 %","0,00 ₽",0,"25,00 %"
1878891837.1493010928,4,00:01:54,"25,00 %","0,00 ₽",0,"25,00 %"
2094143960.1484238364,4,00:34:39,"0,00 %","0,00 ₽",0,"50,00 %"
2102697889.1495452580,4,00:01:30,"0,00 %","0,00 ₽",0,"25,00 %"
225079714.1497520943,4,00:06:19,"0,00 %","0,00 ₽",0,"25,00 %"
502276749.1496162804,4,00:08:30,"25,00 %","0,00 ₽",0,"50,00 %"
559625167.1490786234,4,00:20:34,"0,00 %","0,00 ₽",0,"25,00 %"
600397207.1495444355,4,00:31:07,"0,00 %","0,00 ₽",0,"25,00 %"
668821711.1493628469,4,00:03:32,"0,00 %","0,00 ₽",0,"25,00 %"
910929934.1495635338,4,00:05:51,"0,00 %","0,00 ₽",0,"75,00 %"
924692635.1478335233,4,00:02:16,"0,00 %","0,00 ₽",0,"25,00 %"
985482497.1494500623,4,00:02:01,"0,00 %","0,00 ₽",0,"25,00 %"
1027251334.1495694098,3,00:00:15,"0,00 %","0,00 ₽",0,"33,33 %"
1066278109.1495030506,3,00:16:21,"0,00 %","0,00 ₽",0,"33,33 %"
1074309089.1496482220,3,00:07:57,"0,00 %","0,00 ₽",0,"33,33 %"
1091241312.1431504928,3,00:08:59,"0,00 %","0,00 ₽",0,"33,33 %"
1157332505.1496134651,3,00:26:58,"0,00 %","0,00 ₽",0,"33,33 %"
1194853552.1495377769,3,00:01:11,"0,00 %","0,00 ₽",0,"100,00 %"
1220641848.1496825649,3,00:05:02,"0,00 %","0,00 ₽",0,"33,33 %"
123406027.1495868057,3,00:00:10,"33,33 %","0,00 ₽",0,"33,33 %"
1248952397.1494943783,3,00:06:59,"0,00 %","0,00 ₽",0,"33,33 %"
1254845168.1495629133,3,00:08:43,"0,00 %","0,00 ₽",0,"33,33 %"
1294254643.1496657973,3,00:02:20,"66,67 %","0,00 ₽",0,"33,33 %"
1322616589.1493894900,3,00:25:52,"0,00 %","0,00 ₽",0,"33,33 %"
1336241920.1494581872,3,00:05:51,"0,00 %","0,00 ₽",0,"33,33 %"
1381299327.1493787404,3,00:09:29,"33,33 %","0,00 ₽",0,"33,33 %"
1424324171.1495033482,3,00:00:40,"0,00 %","0,00 ₽",0,"33,33 %"
1451646570.1495101911,3,00:12:56,"0,00 %","0,00 ₽",0,"66,67 %"
1608018894.1495701371,3,00:02:35,"33,33 %","0,00 ₽",0,"66,67 %"
166010917.1496154783,3,00:03:06,"0,00 %","0,00 ₽",0,"66,67 %"
1675289886.1496751631,3,00:03:58,"0,00 %","0,00 ₽",0,"66,67 %"
1686373675.1495452608,3,00:00:39,"0,00 %","0,00 ₽",0,"33,33 %"
1695780161.1494497226,3,00:01:13,"33,33 %","0,00 ₽",0,"33,33 %"
1775064174.1494436441,3,00:00:44,"33,33 %","0,00 ₽",0,"33,33 %"
1848983378.1485773707,3,00:00:16,"0,00 %","0,00 ₽",0,"100,00 %"
1907631687.1482950460,3,00:01:31,"0,00 %","0,00 ₽",0,"33,33 %"
1925641797.1494649541,3,00:03:03,"0,00 %","0,00 ₽",0,"33,33 %"
1936082854.1497272569,3,00:16:47,"0,00 %","0,00 ₽",0,"33,33 %"
19707891.1496298188,3,00:00:24,"33,33 %","0,00 ₽",0,"33,33 %"
1980624808.1492437782,3,00:06:04,"0,00 %","0,00 ₽",0,"33,33 %"
1984287289.1495210758,3,00:02:02,"0,00 %","0,00 ₽",0,"33,33 %"
2010380806.1495352664,3,00:07:40,"0,00 %","0,00 ₽",0,"33,33 %"
2019333702.1477212936,3,00:14:07,"0,00 %","0,00 ₽",0,"33,33 %"
2137070797.1495004092,3,00:26:25,"0,00 %","0,00 ₽",0,"33,33 %"
264917388.1494417158,3,00:00:24,"0,00 %","0,00 ₽",0,"33,33 %"
275173255.1494498010,3,00:01:18,"0,00 %","0,00 ₽",0,"33,33 %"
395077827.1497547350,3,00:00:13,"0,00 %","0,00 ₽",0,"66,67 %"
552935907.1494953261,3,00:03:55,"0,00 %","0,00 ₽",0,"33,33 %"
59608812.1493720245,3,00:06:00,"33,33 %","0,00 ₽",0,"33,33 %"
623115922.1496181913,3,00:04:04,"0,00 %","0,00 ₽",0,"66,67 %"
625949077.1496656229,3,00:01:12,"33,33 %","0,00 ₽",0,"66,67 %"
72656988.1495645800,3,00:00:11,"33,33 %","0,00 ₽",0,"33,33 %"
833562063.1491136757,3,00:01:05,"0,00 %","0,00 ₽",0,"66,67 %"
919267609.1493902021,3,00:13:14,"33,33 %","0,00 ₽",0,"33,33 %"
945773849.1496309596,3,00:10:41,"33,33 %","0,00 ₽",0,"33,33 %"
950426861.1494934360,3,00:04:51,"0,00 %","0,00 ₽",0,"33,33 %"
