Date,max_price,p_75,p_50,p_25,min_price,tendered_volume,offered_volume,residual_load_n4, residual_load_n4_2,residual_n0,residual_n0_2,rel,feature_x1,feature_x2,Weekday,weekday_group,public_holiday
19.08.2014,27.53,24.79,20.315,18.959,15,2209,3846,46.76985551,21.87419384,34.04845373,11.59297201,,,,3,WD,0
20.08.2014,17.613,15.14,13.45,11.804,8,2216,3941,43.76388426,19.15277565,33.49028993,11.21599519,,,,4,WD,0
21.08.2014,9.333,8.828,8.6195,8.2025,5.809,2209,3905,50.9398423,25.94867534,40.13887339,16.11129157,,,,5,WD,0
22.08.2014,6.25,5.682,5.22,4.8,3.593,2216,3890,48.82162237,23.83550811,39.27587123,15.42594061,,,,6,WD,0
23.08.2014,12.305,11.49,10.769,10.08,7.3,2214,4045,41.70519727,17.39323479,37.01900322,13.70406599,,,,7,7,0
24.08.2014,45.611,38,29.172,23.68,15.987,2213,3759,34.86991175,12.15910745,33.47764746,11.20752879,,,,1,1,0
25.08.2014,36.632,27.222,17.25,13.96,3.21,2210,3693,48.04917942,23.08723642,34.5737776,11.95346097,,,,2,2,0
26.08.2014,15.132,14.61,13.75,12.0865,9.844,2214,4302,52.13250153,27.17797716,40.978256,16.79217465,1.185240921,,0.413081459,3,WD,0
27.08.2014,8,7.7,7.325,6.95,5.98,2210,4346,52.3552034,27.41067323,41.15937786,16.94094385,1.00441995,,0.528680941,4,WD,0
28.08.2014,5.495,5,4.39,4.071,2.96,2222,3864,52.60819518,27.676222,41.97998005,17.62318725,1.019937186,,0.686875,5,WD,0
29.08.2014,7.87,3.8,3.56,3.26,2.3,2212,4081,51.38913131,26.40842816,40.1404009,16.11251784,0.956179609,,1.432211101,6,WD,0
30.08.2014,7.94,7.186,7.09,6.66,4.43,2213,4142,42.56625189,18.118858,38.63637809,14.92769712,1.043690395,,0.645266152,7,7,0
31.08.2014,26.165,25,23.857,20.54,6.89,2215,4127,37.86899198,14.34060554,34.80922891,12.11682417,1.03977524,,0.573655478,1,1,0
01.09.2014,26.265,18.5,17.87,15.661,3.5,2214,4044,49.94612205,24.94615108,36.32766726,13.19699409,1.050728899,,0.716996069,2,2,0
02.09.2014,11.768,11,10.591,10.1,3.9,2210,4710,52.63225095,27.7015384,41.03790157,16.84109365,1.129659696,1,0.448048734,3,WD,0
03.09.2014,6.297,6.153,5.89,4.97,4.32,2215,4307,51.09961753,26.11170911,39.78640091,15.82957697,0.969503785,1,0.535095173,4,WD,0
04.09.2014,3.921,3.247,2.76,2.58,1.76,2210,4605,49.15290282,24.16007855,36.8995442,13.61576362,0.927441119,1,0.622677465,5,WD,0
05.09.2014,2.04,1.928,1.84,1.84,1.27,2211,4397,51.46767343,26.48921408,38.65766486,14.94415052,1.047646135,1,0.52027544,6,WD,0
06.09.2014,4.999,4.4,3.84,3.563,1.8,2215,4674,44.97015093,20.22314475,40.03703591,16.02964244,1.036252306,1,0.629596977,7,7,0
07.09.2014,18.526,16.916,14.98,11.103,8.89,2212,4587,38.69078683,14.96976986,35.80795632,12.82209736,1.028691455,1,0.708045098,1,1,0
08.09.2014,11.468,10.76,10.76,10.21,1.22,2213,4697,51.54696972,26.57090087,37.90489857,14.36781336,1.043416807,1,0.43662669,2,2,0
09.09.2014,5.66,5,4.905,4.764,1.5,2208,4421,51.24449138,26.25997897,39.77001283,15.8165392,1.049205098,1,0.493547262,3,WD,0
10.09.2014,4.296,3.85,3.5,2.5,1.9,2218,3754,51.83264922,26.86623525,39.51672318,15.61571411,0.99363114,1,0.759010601,4,WD,0
11.09.2014,3.09,2.772,2.55,2.4,1.69,2208,4304,53.00787469,28.09834779,41.31606704,17.07017396,1.045533731,1,0.719273743,5,WD,0
12.09.2014,4,2.018,1.91,1.78,1.488,2210,4494,48.56834172,23.58883817,38.81734533,15.06786298,0.939521792,1,1.294498382,6,WD,0
13.09.2014,5.968,3.5775,3.247,2.946,1.9,2209,4326,43.46370013,18.89093229,37.72631503,14.23274846,0.942285416,1,1.193838768,7,7,0
14.09.2014,19.451,12.75,11.783,10.98,7.5,2211,4123,38.07666973,14.49832778,34.36093226,11.80673665,0.959589314,1,1.049929828,1,1,0
15.09.2014,12.769,11.393,9,7.029,1.75,2213,3860,50.97284074,25.98230493,36.15364112,13.07085766,0.953798651,1,1.113446111,2,2,0
16.09.2014,7.816,7.08,5.97,4.937,2.66,2217,4093,52.44233669,27.50198677,39.33316697,15.47098024,1.087944831,1,0.612107448,3,WD,0
17.09.2014,5.021,4.6,3.6,2.75,2.6,2208,3693,51.59957746,26.62516394,38.51019771,14.83035328,0.979076964,1,0.642400205,4,WD,0
18.09.2014,3.729,3.033,2.8,2.405,1.999,2210,3435,51.93065515,26.96792944,39.14295131,15.32170637,1.016430806,1,0.742680741,5,WD,0
19.09.2014,22.324,4.88,2.95,2.24,1.2,2208,3604,54.08543227,29.25233984,41.45257413,17.18315902,1.059004821,1,5.98659158,6,WD,0
20.09.2014,9.9,8.16,5,4.487,2.595,2240,4375,46.48347451,21.60713403,41.4563527,17.18629179,1.098870978,1,1.658847185,7,7,0
21.09.2014,37.99,24.911,18.15,15,4.23,2209,3921,37.20912799,13.84519205,35.09323719,12.31535296,1.021312138,1,1.95311295,1,1,0
22.09.2014,38.89,35.12,17.965,11.915,5.54,2218,3644,41.02322511,16.82904998,28.5409007,8.145830129,0.789433645,1,3.045657452,2,2,0
23.09.2014,19.51,17.736,15.4,14,1.99,2216,4497,51.94820799,26.98616313,37.83109294,14.31191593,1.325504522,1,0.501671381,3,WD,0
24.09.2014,10.475,9.378,9.08,8.72,6.96,2214,4066,51.03437622,26.04507556,40.19337403,16.15507316,1.062442845,1,0.536904152,4,WD,0
25.09.2014,7.824,7.34,6.12,5.15,3.771,2219,3905,51.31662644,26.33396149,39.62222635,15.69920821,0.985790004,1,0.746921241,5,WD,0
26.09.2014,4.925,4.778,4.625,4.445,3.499,2215,4110,50.43468347,25.43657297,37.09083721,13.75730205,0.93611189,1,0.629473415,6,WD,0
27.09.2014,8.84,6.635,5.988,5.476,4.31,2208,4108,44.50691108,19.80865134,38.41503432,14.75714862,0.926638062,1,0.892929293,7,7,0
28.09.2014,22.566,21.118,19.66,17.56,9.79,2217,4357,37.47128587,14.04097264,34.89189173,12.17444108,0.994262557,1,0.593998421,1,1,0
29.09.2014,22.379,19.4,14.3,10.103,0,2198,4177,52.74880132,27.8243604,37.95641298,14.40689286,1.329895415,1,0.575443559,2,2,0
30.09.2014,10.043,8.869,7.662,6.348,2.49,2184,4388,55.0466225,30.30130648,42.142015,17.75949428,1.110273909,1,0.448768935,3,WD,0
01.10.2014,5.55,4.784,4.4,4.16,3.23,2185,4147,55.80996705,31.14752422,40.33997028,16.27313202,0.957238762,1,0.552623718,4,WD,0
02.10.2014,3.681,3.284,2.9675,2.7,0,2185,3915,56.02578485,31.38888568,43.54740173,18.96376198,1.07951001,1,0.663243243,5,WD,0
03.10.2014,15,13.88,12.542,3.33,2.63,2188,4904,44.27597073,19.60361584,38.91485854,15.14366215,1.049177141,1,3.045685279,6,1,1
04.10.2014,7.447,6.8,6.432,6.107,4.243,2186,4675,41.16716517,16.94735488,35.75637465,12.78518328,0.930791168,1,0.842420814,7,7,0
05.10.2014,20.922,18.226,16.725,15.196,11.12,2188,4202,37.03507754,13.71596969,32.17994277,10.35548717,0.922275668,1,0.927147035,1,1,0
06.10.2014,23.905,19.4,12.308,9.75,1.62,2192,4634,49.93279982,24.93284498,36.03145448,12.98265712,0.949285026,1,1.068188927,2,2,0
07.10.2014,15.714,14.49875,12.99,9.684,3.82,2189,4274,45.29436481,20.51579483,33.88388698,11.48117797,0.940397424,1,0.657352018,3,WD,0
08.10.2014,8.144,7.9905,7.812,7.401,3.98,2185,4919,48.15003428,23.18425801,32.29871536,10.43207014,0.953217539,1,0.518263968,4,WD,0
09.10.2014,5.142,4.9,4.463,4.071,2.964,2185,4569,45.16565605,20.39936486,31.97431224,10.22356643,0.98995616,1,0.631385069,5,WD,0
10.10.2014,3.464,3.191,2.89,2.616,1.98,2185,4735,48.46283562,23.48646436,35.74614,12.77786525,1.117964312,1,0.673667834,6,WD,0
11.10.2014,5.244,4.712,3.98,3.9,2.67,2188,4876,45.44426876,20.65181563,40.89612216,16.72492808,1.14374353,1,0.704176178,7,7,0
12.10.2014,14.219,13.933,12.828,11.48925,7.95,2193,4892,36.69691965,13.46663912,32.85323427,10.79335002,1.020922707,1,0.679619539,1,1,0
13.10.2014,15.607,14.553,13,11.075,1.69,2186,4598,47.61391058,22.67084481,33.4831826,11.21123517,0.929276464,1,0.652875967,2,2,0
14.10.2014,8.12,7.602,7.02,6.924,1.99,2188,4672,52.9789383,28.06767903,40.47838043,16.38499282,1.208916754,1,0.520279362,3,WD,0
15.10.2014,4.5,4.2,3.65,3.39,2.45,2184,4241,52.97464512,28.06313026,40.79321006,16.64085987,1.007777723,1,0.554187192,4,WD,0
16.10.2014,2.927,2.813,2.574,2.25,1,2197,4143,53.82107945,28.96708593,42.19863811,17.80725058,1.034452499,1,0.650444444,5,WD,0
17.10.2014,2.305,2.08,1.772,1.58,1,2196,4561,53.6737468,28.80871096,40.91323578,16.73892862,0.969539246,1,0.787495729,6,WD,0
18.10.2014,3.842,3.579,3.36,3.22,0,2185,4972,43.75634458,19.14617691,39.46772475,15.57701297,0.965072546,1,0.732646834,7,7,0
19.10.2014,28.93,26.765,21.983,18.88,2,2186,4673,32.00414749,10.24265457,28.32659154,8.023957883,0.862216222,1,2.034601589,1,1,0
20.10.2014,47.2,43.684,24.245,15.775,1.22,2192,4237,39.27414715,15.42458635,25.48879264,6.4967855,0.761241634,1,3.024283975,2,2,0
21.10.2014,16.589,13.902,12,10,2,2186,4434,49.42833799,24.43160596,37.82829129,14.30979622,1.484114679,1,0.351461864,3,WD,0
22.10.2014,50.024,46.082,39.9,11.14,5.574,2189,4004,36.36207786,13.22200706,25.86850264,6.69179429,0.683840104,1,3.015492194,4,WD,0
23.10.2014,16.4,13.987,10.876,9.899,4.14,2202,4266,50.32573081,25.32679181,37.58359643,14.1252672,1.452870966,1,0.327842636,5,WD,0
24.10.2014,7.667,7.39,7.1,6.8005,4.9,2189,4274,52.02777198,27.06889057,42.46102304,18.02938478,1.12977541,1,0.4675,6,WD,0
25.10.2014,4.804,4.328,3.36,2.093,1.5,2189,3459,41.43807694,17.17114221,37.54180475,14.09387104,0.95120266,1,1.250390422,7,7,0
26.10.2014,13.138,12.03,11.562,11.03,5,2191,4231,36.5081868,13.32847703,35.82253275,12.83253853,1.264625598,1,0.45413066,1,1,0
27.10.2014,18.174,15.579,14.04,11.84,3,2198,4553,49.21799156,24.22410693,36.33322429,13.20103187,1.425458821,1,0.385042373,2,2,0
28.10.2014,9.224,8.26,7.795,6.858,3.41,2190,3971,52.44719591,27.50708358,41.75416033,17.43409905,1.149200522,1,0.507538241,3,WD,0
29.10.2014,5.2,4.6,4.015,3.7,2.95,2185,4140,51.29124603,26.30791919,39.43303379,15.54964153,0.944409694,1,0.563746748,4,WD,0
30.10.2014,3.99,3.235,2.99,2.44,1.02,2204,3914,56.8399973,32.30785293,46.67019141,21.78106766,1.183530328,1,0.767307692,5,WD,0
31.10.2014,1.9,1.808,1.629,1.524,0.96,2185,3970,51.56413104,26.5885961,43.59469251,19.00497215,0.934101429,1,0.476190476,6,WD,0
01.11.2014,3.653,3.469,3.37,3.04,0.636,2185,4367,41.01361708,16.82116786,39.54654719,15.63929395,1.053400268,1,0.760407993,7,7,0
